method,training_period,holding_period,code,eligible,pheromone,rank,group,selected
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159920.SZ,True,10.412480000000002,1,hong_kong,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513180.SH,True,10.412480000000002,2,hong_kong,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513500.SH,True,9.90048,3,global,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,501018.SH,True,9.802880000000002,4,commodity,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,164824.SZ,True,9.642880000000002,5,global,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159985.SZ,True,8.6256,6,commodity,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159981.SZ,True,8.32896,7,commodity,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513100.SH,True,8.031039999999999,8,global,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159980.SZ,True,7.96576,9,commodity,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,161226.SZ,True,6.408640000000001,10,commodity,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513880.SH,True,4.881600000000001,11,global,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515880.SH,True,4.077120000000001,12,a_share,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513030.SH,True,3.9504,13,global,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,516150.SH,True,3.877440000000001,14,a_share,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,160644.SZ,True,3.543040000000001,15,global,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512890.SH,True,3.2444800000000003,16,a_share,True
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159851.SZ,True,2.7276800000000003,17,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513080.SH,True,2.6835200000000006,18,global,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512660.SH,True,2.4976000000000007,19,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512040.SH,True,2.4873600000000007,20,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159901.SZ,True,2.4044800000000004,21,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515790.SH,True,2.3212800000000002,22,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159869.SZ,True,2.2169600000000003,23,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512880.SH,True,2.0150400000000004,24,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515220.SH,True,1.4515200000000004,25,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515210.SH,True,1.2748800000000005,26,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159825.SZ,True,1.19968,27,a_share,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,518880.SH,True,1.17344,28,commodity,False
rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510880.SH,True,0.9920000000000002,29,a_share,False
