start_date,end_date,trading_days,final_net_value,annual_return,max_drawdown,annual_volatility,sharpe,calmar,method,training_period,holding_period,eligible_count,codes,maximum_within_group_correlation
2022-01-04,2022-06-30,117,1.013819878,0.028727184462894684,0.08581401113821352,0.10181731201270096,-0.0513708328047774,0.3347610032658442,rolling_ant_colony,2021-07-01/2021-12-31,2022-01-01/2022-06-30,49,159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512890.SH|513100.SH|513180.SH|513500.SH|513880.SH|515880.SH|516150.SH,0.9194433972050108
2022-07-01,2022-12-30,125,1.0535150000000002,0.11613855921189775,0.028346869822917342,0.08999635225618026,0.8272880156867475,4.097050571629755,rolling_ant_colony,2022-01-01/2022-06-30,2022-07-01/2022-12-31,53,159851.SZ|159980.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512980.SH|513070.SH|513080.SH|513180.SH|513880.SH|518880.SH|562500.SH,0.9123874319228055
2023-01-03,2023-06-30,118,1.0763840130000002,0.16303919118641774,0.05628941312749269,0.10760328972956851,1.1441760717696552,2.896445035181699,rolling_ant_colony,2022-07-01/2022-12-31,2023-01-01/2023-06-30,55,159766.SZ|159852.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|513030.SH|513120.SH|513180.SH|513290.SH|515220.SH|518880.SH,0.7051191112834191
2023-07-03,2023-12-29,124,0.9389616644999998,-0.12059479673262175,0.10167188492405077,0.08950660583258903,-1.8319655555707133,-1.1861174485228285,rolling_ant_colony,2023-01-01/2023-06-30,2023-07-01/2023-12-31,58,159869.SZ|159920.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|512170.SH|513100.SH|513120.SH|513880.SH|515880.SH|518880.SH,0.6871488226207012
2024-01-02,2024-06-28,117,1.0023229999999996,0.004772443954769612,0.049253300606630024,0.09383663585337786,-0.32613321650174865,0.09689592161316372,rolling_ant_colony,2023-07-01/2023-12-31,2024-01-01/2024-06-30,61,159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510300.SH|512200.SH|513030.SH|513120.SH|513180.SH|513290.SH|513310.SH|563300.SH,0.660278640612336
2024-07-01,2024-12-31,125,1.0701415216000003,0.14488156608849567,0.08785774599216412,0.11318333968690204,0.9111759014616142,1.6490471551753378,rolling_ant_colony,2024-01-01/2024-06-30,2024-07-01/2024-12-31,66,159509.SZ|159967.SZ|159980.SZ|161226.SZ|501018.SH|512100.SH|512800.SH|513100.SH|513180.SH|513500.SH|513730.SH|513750.SH|518880.SH,0.8284455626917091
2025-01-02,2025-06-30,117,0.9864860000000003,-0.027380962333558023,0.10768854555053031,0.15675887083520088,-0.36185027253739066,-0.2542606754839135,rolling_ant_colony,2024-07-01/2024-12-31,2025-01-01/2025-06-30,68,159529.SZ|159852.SZ|159980.SZ|159981.SZ|161226.SZ|501018.SH|510050.SH|512880.SH|513180.SH|513290.SH|513400.SH|513730.SH|513750.SH,0.8861226651551434
2025-07-01,2025-12-31,126,1.2363450000000002,0.5272071750851364,0.03941943047873431,0.1224242720366964,3.203005705521202,13.37429710887249,rolling_ant_colony,2025-01-01/2025-06-30,2025-07-01/2025-12-31,71,159529.SZ|159766.SZ|159980.SZ|159985.SZ|161226.SZ|164824.SZ|513120.SH|513310.SH|513750.SH|513880.SH|515880.SH|518880.SH|562500.SH,0.7632078056198386
2026-01-05,2026-06-30,116,1.1524695519999997,0.3424434867298236,0.09303820322323797,0.1287149089884065,2.1519855316965484,3.680676054202777,rolling_ant_colony,2025-07-01/2025-12-31,2026-01-01/2026-06-30,71,159206.SZ|159509.SZ|159920.SZ|159980.SZ|159981.SZ|161226.SZ|501018.SH|513070.SH|513100.SH|513290.SH|513400.SH|515880.SH|588200.SH,0.8781907596410816
2026-07-01,2026-07-24,18,0.9841278944000003,-0.22436441136604823,0.04547504358986043,0.1455376185033011,-1.8174601930659602,-4.9337921122097566,rolling_ant_colony,2026-01-01/2026-06-30,2026-07-01/2026-07-26,72,159870.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|501018.SH|513120.SH|513290.SH|513310.SH|513500.SH|520870.SH|562500.SH|588200.SH,0.665760968479371
