method,training_year,holding_year,evaluation,codes,sharpe,maximum_within_group_correlation,phase,generation
rolling_ant_colony,2021,2022,1,159920.SZ|159981.SZ|161226.SZ|501018.SH|510180.SH|512040.SH|512200.SH|513080.SH|513100.SH|513180.SH|513500.SH|513880.SH|518880.SH,-0.2127624586380166,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,2,159870.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510210.SH|510880.SH|513030.SH|513100.SH|513180.SH|513880.SH,0.5012313791174074,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,3,159869.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|510500.SH|513030.SH|513080.SH|513180.SH|518880.SH|588000.SH,0.195090621437151,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,4,159920.SZ|159928.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|510880.SH|512040.SH|513080.SH|513100.SH|513180.SH|513880.SH|518880.SH,-0.3615575236835904,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,5,159851.SZ|159901.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|512170.SH|513080.SH|513100.SH|513180.SH|513500.SH|518880.SH,-0.7547840161259228,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,6,159920.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|512040.SH|512170.SH|512200.SH|513030.SH|513080.SH|513100.SH|513180.SH|518880.SH,-0.10446213205269889,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,7,159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|501018.SH|512040.SH|512880.SH|512980.SH|513030.SH|513080.SH|513100.SH|513180.SH,1.2378187856235958,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,8,159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|510500.SH|512100.SH|512400.SH|513030.SH|513080.SH|513100.SH|513180.SH|518880.SH,-0.19669990201465376,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,9,159852.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512170.SH|513030.SH|513180.SH|513880.SH|515790.SH,0.5244746346807387,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,10,159865.SZ|159870.SZ|159901.SZ|159920.SZ|159981.SZ|161226.SZ|164824.SZ|501018.SH|513030.SH|513180.SH|513500.SH|513880.SH|518880.SH,-0.27142357464528416,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,11,159825.SZ|159870.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|501018.SH|510300.SH|513080.SH|513100.SH|513180.SH|513880.SH|518880.SH,0.20116116229648145,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,12,159852.SZ|159865.SZ|159920.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|512880.SH|513030.SH|513100.SH|513180.SH|513880.SH|518880.SH,-0.0798460741380383,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,13,159920.SZ|159980.SZ|160644.SZ|161226.SZ|501018.SH|510880.SH|512400.SH|513030.SH|513180.SH|513500.SH|513880.SH|515210.SH|518880.SH,0.19440421762961171,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,14,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|512660.SH|512880.SH|513030.SH|513080.SH|513180.SH|513500.SH|518880.SH,0.5679876251870747,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,15,159869.SZ|159920.SZ|159980.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|513100.SH|513180.SH|513880.SH|515210.SH|518880.SH|588000.SH,0.959012004364298,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,16,159870.SZ|159920.SZ|159980.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512880.SH|512890.SH|513080.SH|513180.SH|513500.SH|518880.SH,0.2076087697425846,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,17,159865.SZ|159869.SZ|159920.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|513030.SH|513100.SH|513180.SH|513500.SH|515880.SH|518880.SH,0.07974457111488496,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,18,159901.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|510880.SH|512890.SH|513030.SH|513080.SH|513180.SH|518880.SH,-0.8237990291469783,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,19,159865.SZ|159920.SZ|159980.SZ|159985.SZ|164824.SZ|501018.SH|510180.SH|512980.SH|513030.SH|513080.SH|513180.SH|513880.SH|518880.SH,-0.7103077304161716,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,20,159851.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|512880.SH|512980.SH|513080.SH|513180.SH|513500.SH|513880.SH,0.792853594256631,0.910284859375849,ant,0
rolling_ant_colony,2021,2022,21,159901.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|510050.SH|512890.SH|513100.SH|513180.SH|513500.SH|513880.SH|518880.SH,-1.1660121300115578,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,22,159920.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510210.SH|512660.SH|513030.SH|513180.SH|513500.SH|515210.SH|518880.SH,0.6996927507948546,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,23,159865.SZ|159869.SZ|159920.SZ|159980.SZ|159981.SZ|164824.SZ|501018.SH|512880.SH|513080.SH|513100.SH|513180.SH|513880.SH|518880.SH,0.5410670804415542,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,24,159852.SZ|159920.SZ|159967.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|512170.SH|513100.SH|513180.SH|513500.SH,0.04211307348345298,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,25,159915.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|513030.SH|513100.SH|513180.SH|513500.SH|515210.SH|515220.SH|518880.SH,0.04827014112604313,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,26,159920.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512100.SH|512400.SH|512880.SH|513080.SH|513180.SH|513500.SH|518880.SH,0.6216110313028668,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,27,159865.SZ|159869.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|501018.SH|512980.SH|513030.SH|513100.SH|513180.SH|513500.SH,1.290558149343445,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,28,159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510210.SH|510500.SH|513180.SH|513500.SH|513880.SH|515790.SH,0.8162238631401901,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,29,159851.SZ|159920.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|513100.SH|513180.SH|513500.SH|515220.SH|516150.SH,1.2789995684191648,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,30,159869.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510050.SH|512200.SH|513030.SH|513180.SH|513500.SH,0.7716186095912001,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,31,159852.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|501018.SH|512980.SH|513100.SH|513180.SH|513500.SH|513880.SH|515210.SH|518880.SH,0.538564385353925,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,32,159852.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512980.SH|513030.SH|513080.SH|513180.SH|588000.SH,0.7047414819193711,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,33,159920.SZ|159928.SZ|159980.SZ|159981.SZ|161226.SZ|501018.SH|512800.SH|512980.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH,-0.18808091021501408,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,34,159920.SZ|159967.SZ|159980.SZ|159981.SZ|164824.SZ|501018.SH|512040.SH|512660.SH|513030.SH|513100.SH|513180.SH|513500.SH|518880.SH,0.9684144818304882,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,35,159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512170.SH|512400.SH|513080.SH|513100.SH|513180.SH|515880.SH,0.9220252091240163,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,36,159920.SZ|159928.SZ|159980.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510300.SH|512170.SH|513080.SH|513180.SH|513880.SH|518880.SH,-1.3062920200354675,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,37,159920.SZ|159980.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510210.SH|512040.SH|512100.SH|513030.SH|513180.SH|513880.SH|518880.SH,0.5977923810686462,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,38,159920.SZ|159928.SZ|159980.SZ|159981.SZ|164824.SZ|501018.SH|512880.SH|513080.SH|513100.SH|513180.SH|513500.SH|515790.SH|518880.SH,0.42880338800618845,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,39,159852.SZ|159901.SZ|159920.SZ|159980.SZ|160644.SZ|161226.SZ|501018.SH|512880.SH|513100.SH|513180.SH|513500.SH|513880.SH|518880.SH,-0.12749732517734452,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,40,159869.SZ|159920.SZ|159949.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|513030.SH|513100.SH|513180.SH|513880.SH,0.21299374122991868,0.910284859375849,ant,1
rolling_ant_colony,2021,2022,41,159865.SZ|159869.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|510210.SH|513100.SH|513180.SH|513500.SH|518880.SH,0.45137292061542755,0.910284859375849,ant,2
rolling_ant_colony,2021,2022,42,159920.SZ|159980.SZ|159985.SZ|160644.SZ|501018.SH|512800.SH|513030.SH|513180.SH|513500.SH|513880.SH|515210.SH|515220.SH|518880.SH,0.42160538228987293,0.910284859375849,ant,2
