method,training_period,holding_period,beam_width,generations,training_sharpe,codes
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,5,19,1.8944626513052831,159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512100.SH|512890.SH|512980.SH|513030.SH|513180.SH|513500.SH
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,5,19,1.882202354826644,159796.SZ|159980.SZ|159985.SZ|160644.SZ|501018.SH|513030.SH|513070.SH|513180.SH|513500.SH|513880.SH|515790.SH|516150.SH|518880.SH
rolling_beam_search,2022-07-01/2022-12-31,2023-01-01/2023-06-30,5,19,1.483319211894747,159852.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|510500.SH|512400.SH|513080.SH|513120.SH|513180.SH|513290.SH|513500.SH
rolling_beam_search,2023-01-01/2023-06-30,2023-07-01/2023-12-31,5,19,3.0147569975064283,159852.SZ|159915.SZ|159980.SZ|159985.SZ|161226.SZ|512890.SH|513070.SH|513080.SH|513100.SH|513120.SH|513310.SH|513500.SH|518880.SH
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,5,19,1.9086400439294486,159687.SZ|159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510180.SH|513120.SH|513290.SH|513310.SH|588200.SH
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,5,19,3.3635915049357847,159509.SZ|159920.SZ|159980.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|512170.SH|513500.SH|513750.SH|513880.SH|563300.SH|588200.SH
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,5,19,2.641099021257744,159851.SZ|159915.SZ|159980.SZ|159981.SZ|501018.SH|512040.SH|513070.SH|513100.SH|513120.SH|513290.SH|513400.SH|513730.SH|518880.SH
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,5,19,2.6775573041475305,159687.SZ|159825.SZ|159981.SZ|159985.SZ|161226.SZ|512980.SH|513100.SH|513120.SH|513290.SH|513310.SH|513750.SH|515880.SH|518880.SH
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,5,19,4.64477700611999,159509.SZ|159981.SZ|160644.SZ|161226.SZ|501018.SH|510210.SH|512890.SH|513070.SH|513120.SH|513290.SH|513400.SH|515880.SH|518880.SH
rolling_beam_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,5,19,4.124024787999785,159509.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|512980.SH|513120.SH|513180.SH|513310.SH|513500.SH|515880.SH|518880.SH|588200.SH
