method,training_period,holding_period,evaluation,codes,sharpe,maximum_within_group_correlation,phase,generation,removed,added
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,1,159901.SZ|159920.SZ|159980.SZ|159985.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|516150.SH|518880.SH,-1.3809150180987266,0.9194433972050108,initial_beam,,,
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,2,159825.SZ|159869.SZ|159920.SZ|159949.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|513030.SH|513100.SH|513180.SH,-0.09507470222157471,0.9194433972050108,initial_beam,,,
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,3,159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|512660.SH|512880.SH|513030.SH|513100.SH|513180.SH|513500.SH,-0.2136423291269693,0.9194433972050108,initial_beam,,,
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,4,159825.SZ|159870.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|512040.SH|513080.SH|513180.SH|513880.SH|518880.SH,-0.9191750884189797,0.9194433972050108,initial_beam,,,
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,5,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510210.SH|512100.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.4828387088919193,0.9194433972050108,initial_beam,,,
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,6,159901.SZ|159920.SZ|159949.SZ|159980.SZ|159985.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|516150.SH|518880.SH,-0.8773587740406716,0.9194433972050108,beam_neighbor,0.0,512200.SH,159949.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,7,159825.SZ|159869.SZ|159920.SZ|159949.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|513030.SH|513100.SH|513180.SH,0.18411572620695874,0.9194433972050108,beam_neighbor,0.0,159985.SZ,501018.SH
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,8,159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|512660.SH|512880.SH|513030.SH|513100.SH|513180.SH|513500.SH,0.8155150087134309,0.9194433972050108,beam_neighbor,0.0,159985.SZ,159981.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,9,159825.SZ|159870.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|512040.SH|513080.SH|513180.SH|513500.SH|513880.SH|518880.SH,-0.8436019603212969,0.9194433972050108,beam_neighbor,0.0,164824.SZ,513500.SH
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,10,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512100.SH|512890.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.844710526984529,0.9194433972050108,beam_neighbor,0.0,510210.SH,512890.SH
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,11,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|512100.SH|512890.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.4901365424179317,0.9194433972050108,beam_neighbor,1.0,501018.SH,161226.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,12,159901.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|501018.SH|512660.SH|512880.SH|513030.SH|513100.SH|513180.SH|513500.SH,0.9904505804677534,0.9194433972050108,beam_neighbor,1.0,510180.SH,159901.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,13,159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510210.SH|512100.SH|513030.SH|513080.SH|513180.SH|513500.SH|515210.SH,0.46273436767329984,0.9194433972050108,beam_neighbor,1.0,159865.SZ,515210.SH
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,14,159825.SZ|159869.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|513030.SH|513100.SH|513180.SH|588000.SH,0.6618146458961625,0.9194433972050108,beam_neighbor,1.0,159949.SZ,588000.SH
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,15,159825.SZ|159869.SZ|159920.SZ|159949.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|513030.SH|513180.SH|513880.SH,-0.3090470046498174,0.9194433972050108,beam_neighbor,1.0,513100.SH,513880.SH
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,16,159901.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|501018.SH|512880.SH|513030.SH|513100.SH|513180.SH|513500.SH|515880.SH,0.8222675212185605,0.9194433972050108,beam_neighbor,2.0,512660.SH,515880.SH
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,17,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|512100.SH|512890.SH|513030.SH|513080.SH|513180.SH|513500.SH|518880.SH,0.2404053231319732,0.9194433972050108,beam_neighbor,2.0,501018.SH,518880.SH
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,18,159920.SZ|159949.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|512660.SH|513030.SH|513100.SH|513180.SH|513500.SH,0.6590781941065675,0.9194433972050108,beam_neighbor,2.0,512880.SH,159949.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,19,159825.SZ|159869.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|513030.SH|513100.SH|513180.SH|588000.SH,0.7426820777314589,0.9194433972050108,beam_neighbor,2.0,159981.SZ,159985.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,20,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|512100.SH|512890.SH|513030.SH|513180.SH|513500.SH,0.9774546359433248,0.9194433972050108,beam_neighbor,2.0,513080.SH,160644.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,21,159901.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512660.SH|512880.SH|513030.SH|513180.SH|513500.SH,0.6769493941518205,0.9194433972050108,beam_neighbor,3.0,513100.SH,164824.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,22,159825.SZ|159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|512890.SH|513030.SH|513180.SH|513500.SH,-0.02975953613966359,0.9194433972050108,beam_neighbor,3.0,512100.SH,159825.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,23,159865.SZ|159920.SZ|159980.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|512100.SH|512890.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.4514907848012837,0.9194433972050108,beam_neighbor,3.0,159981.SZ,161226.SZ
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,24,159901.SZ|159920.SZ|159980.SZ|159981.SZ|161226.SZ|501018.SH|512880.SH|513030.SH|513080.SH|513100.SH|513180.SH|513500.SH|515880.SH,0.8009005133911673,0.9194433972050108,beam_neighbor,3.0,160644.SZ,513080.SH
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,25,159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|512660.SH|512880.SH|513080.SH|513100.SH|513180.SH|513500.SH,0.7094882839382048,0.9194433972050108,beam_neighbor,3.0,513030.SH,513080.SH
