method,training_period,holding_period,rank,code,group
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,1,159920.SZ,hong_kong
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,2,159980.SZ,commodity
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,3,159981.SZ,commodity
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,4,159985.SZ,commodity
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,5,160644.SZ,global
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,6,164824.SZ,global
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,7,501018.SH,commodity
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,8,512100.SH,a_share
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,9,512890.SH,a_share
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,10,512980.SH,a_share
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,11,513030.SH,global
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,12,513180.SH,hong_kong
rolling_beam_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,13,513500.SH,global
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,1,159796.SZ,a_share
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,2,159980.SZ,commodity
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,3,159985.SZ,commodity
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,4,160644.SZ,global
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,5,501018.SH,commodity
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,6,513030.SH,global
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,7,513070.SH,hong_kong
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,8,513180.SH,hong_kong
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,9,513500.SH,global
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,10,513880.SH,global
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,11,515790.SH,a_share
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,12,516150.SH,a_share
rolling_beam_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,13,518880.SH,commodity
rolling_beam_search,2022-07-01/2022-12-31,2023-01-01/2023-06-30,1,159852.SZ,a_share
rolling_beam_search,2022-07-01/2022-12-31,2023-01-01/2023-06-30,2,159981.SZ,commodity
rolling_beam_search,2022-07-01/2022-12-31,2023-01-01/2023-06-30,3,159985.SZ,commodity
rolling_beam_search,2022-07-01/2022-12-31,2023-01-01/2023-06-30,4,161226.SZ,commodity
