method,training_period,holding_period,code,eligible,sampling_probability,rank,group,selected
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159920.SZ,True,0.07375957912848263,1,hong_kong,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513180.SH,True,0.07375957912848263,2,hong_kong,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513500.SH,True,0.07375957912848263,3,global,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,501018.SH,True,0.07367520412848264,4,commodity,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,164824.SZ,True,0.07115889292670222,5,global,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,161226.SZ,True,0.06625539555491887,6,commodity,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159981.SZ,True,0.06515192745402866,7,commodity,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515880.SH,True,0.05641689546835263,8,a_share,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159980.SZ,True,0.051498517785347225,9,commodity,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513030.SH,True,0.043994334211783455,10,global,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513100.SH,True,0.04297524111089325,11,global,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510880.SH,True,0.03978894587455647,12,a_share,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512200.SH,True,0.03443708412521722,13,a_share,True
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159985.SZ,True,0.03308550698977065,14,commodity,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,160644.SZ,True,0.030552679854324076,15,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159865.SZ,True,0.02149834891270259,16,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513080.SH,True,0.01947510263231127,17,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512100.SH,True,0.01565036989597449,18,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,516150.SH,True,0.014960339295084283,19,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513880.SH,True,0.013581454183271387,20,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512040.SH,True,0.012681454183271388,21,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159851.SZ,True,0.011082677291579992,22,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,518880.SH,True,0.00650492168696415,23,commodity,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159949.SZ,True,0.004568644795272755,24,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159825.SZ,True,0.004315519795272755,25,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515210.SH,True,0.004315519795272755,26,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512660.SH,True,0.003910068474261048,27,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159870.SZ,True,0.00236503787337084,28,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159915.SZ,True,0.00236503787337084,29,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510210.SH,True,0.00236503787337084,30,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159869.SZ,True,0.001852854082569653,31,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512880.SH,True,0.001852854082569653,32,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159967.SZ,True,0.001776916582569653,33,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159901.SZ,True,0.0015997290825696528,34,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515220.SH,True,0.0015997290825696528,35,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515790.SH,True,0.0015997290825696528,36,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159766.SZ,True,0.0015237915825696527,37,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159852.SZ,True,0.0015237915825696527,38,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159928.SZ,True,0.0015237915825696527,39,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510050.SH,True,0.0015237915825696527,40,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510180.SH,True,0.0015237915825696527,41,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510300.SH,True,0.0015237915825696527,42,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510500.SH,True,0.0015237915825696527,43,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512170.SH,True,0.0015237915825696527,44,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512400.SH,True,0.0015237915825696527,45,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512800.SH,True,0.0015237915825696527,46,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512890.SH,True,0.0015237915825696527,47,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512980.SH,True,0.0015237915825696527,48,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588000.SH,True,0.0015237915825696527,49,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159201.SZ,False,,,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159206.SZ,False,,,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159209.SZ,False,,,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159326.SZ,False,,,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159329.SZ,False,,,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159509.SZ,False,,,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159518.SZ,False,,,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159529.SZ,False,,,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159611.SZ,False,,,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159687.SZ,False,,,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159796.SZ,False,,,a_share,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513070.SH,False,,,hong_kong,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513120.SH,False,,,hong_kong,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513290.SH,False,,,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513310.SH,False,,,global,False
rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513400.SH,False,,,global,False
