start_date,end_date,trading_days,final_net_value,annual_return,max_drawdown,annual_volatility,sharpe,calmar,method,training_period,holding_period,eligible_count,codes,maximum_within_group_correlation
2022-01-04,2022-06-30,117,1.0035156440000004,0.007268154255380077,0.09952585650240764,0.10659584627959877,-0.25085401575130395,0.07302779911473811,rolling_cross_entropy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,49,159920.SZ|159980.SZ|159981.SZ|161226.SZ|164824.SZ|501018.SH|510880.SH|512200.SH|513030.SH|513100.SH|513180.SH|513500.SH|515880.SH,0.9194433972050108
2022-07-01,2022-12-30,125,1.0026150000000003,0.012552719292899583,0.05256139895318812,0.08911818486544397,-0.26364293914839304,0.23882011405516815,rolling_cross_entropy,2022-01-01/2022-06-30,2022-07-01/2022-12-31,53,159611.SZ|159949.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|513070.SH|513080.SH|513180.SH|513500.SH|515790.SH|518880.SH,0.9123874319228055
2023-01-03,2023-06-30,118,1.0822598350000001,0.176103977211574,0.06107104795190765,0.10685057382677825,1.260387626980437,2.883591867463167,rolling_cross_entropy,2022-07-01/2022-12-31,2023-01-01/2023-06-30,55,159852.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|512800.SH|513100.SH|513120.SH|513180.SH|513290.SH|515220.SH|518880.SH,0.7599788068936458
2023-07-03,2023-12-29,124,0.9291498363000001,-0.1392436593922659,0.11752727846885336,0.09024789775551667,-2.052621594907832,-1.1847773657854908,rolling_cross_entropy,2023-01-01/2023-06-30,2023-07-01/2023-12-31,58,159687.SZ|159920.SZ|159949.SZ|159980.SZ|159985.SZ|161226.SZ|164824.SZ|513080.SH|513100.SH|513120.SH|515210.SH|515880.SH|518880.SH,0.6871488226207012
2024-01-02,2024-06-28,117,1.0295630807999998,0.06160490354150405,0.04614046704116481,0.09082449933221293,0.2963731174059103,1.3351599472658664,rolling_cross_entropy,2023-07-01/2023-12-31,2024-01-01/2024-06-30,61,159687.SZ|159766.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512880.SH|513120.SH|513180.SH|513290.SH|513500.SH|588220.SH,0.6915336172514468
2024-07-01,2024-12-31,125,0.9905673314000001,-0.018737867433311184,0.10459512374347768,0.11677549264428061,-0.44764510762628884,-0.17914666346460187,rolling_cross_entropy,2024-01-01/2024-06-30,2024-07-01/2024-12-31,66,159509.SZ|159920.SZ|159928.SZ|159985.SZ|161226.SZ|501018.SH|512400.SH|512800.SH|513080.SH|513100.SH|513500.SH|513750.SH|518880.SH,0.8926225266665948
2025-01-02,2025-06-30,117,0.9768400000000003,-0.04668787453349388,0.1061520520004271,0.1555598347235019,-0.5018517763789551,-0.43982074442900104,rolling_cross_entropy,2024-07-01/2024-12-31,2025-01-01/2025-06-30,68,159529.SZ|159852.SZ|159949.SZ|159980.SZ|159981.SZ|161226.SZ|501018.SH|512880.SH|513100.SH|513120.SH|513180.SH|513290.SH|513400.SH,0.8322988195287456
2025-07-01,2025-12-31,126,1.18131,0.39453115657647175,0.032221431213616425,0.11216817408601752,2.672147610374269,12.24437095797741,rolling_cross_entropy,2025-01-01/2025-06-30,2025-07-01/2025-12-31,71,159206.SZ|159980.SZ|159981.SZ|161226.SZ|512880.SH|513120.SH|513290.SH|513310.SH|513500.SH|513750.SH|513880.SH|515220.SH|518880.SH,0.8221534939092613
2026-01-05,2026-06-30,116,1.0086359999999994,0.0180050123110842,0.05225185266256349,0.11592708087140378,-0.1259462179612051,0.3445813190081224,rolling_cross_entropy,2025-07-01/2025-12-31,2026-01-01/2026-06-30,71,159206.SZ|159329.SZ|159509.SZ|159529.SZ|159985.SZ|161226.SZ|501018.SH|512170.SH|513120.SH|513290.SH|513750.SH|516150.SH|518880.SH,0.5489078219078787
2026-07-01,2026-07-24,18,0.9886867104,-0.16529778847716348,0.041104676996452705,0.1405774952179784,-1.403407619442558,-4.021386386065715,rolling_cross_entropy,2026-01-01/2026-06-30,2026-07-01/2026-07-26,72,159509.SZ|159915.SZ|159980.SZ|159985.SZ|501018.SH|513120.SH|513310.SH|513500.SH|513750.SH|513880.SH|515880.SH|518880.SH|588000.SH,0.856601388914163
