method,training_year,holding_year,rank,code,group
rolling_differential_evolution,2021,2022,1,159920.SZ,hong_kong
rolling_differential_evolution,2021,2022,2,159980.SZ,commodity
rolling_differential_evolution,2021,2022,3,159981.SZ,commodity
rolling_differential_evolution,2021,2022,4,159985.SZ,commodity
rolling_differential_evolution,2021,2022,5,164824.SZ,global
rolling_differential_evolution,2021,2022,6,501018.SH,commodity
rolling_differential_evolution,2021,2022,7,510210.SH,a_share
rolling_differential_evolution,2021,2022,8,512100.SH,a_share
rolling_differential_evolution,2021,2022,9,512980.SH,a_share
rolling_differential_evolution,2021,2022,10,513030.SH,global
rolling_differential_evolution,2021,2022,11,513080.SH,global
rolling_differential_evolution,2021,2022,12,513180.SH,hong_kong
rolling_differential_evolution,2021,2022,13,513500.SH,global
rolling_differential_evolution,2022,2023,1,159852.SZ,a_share
rolling_differential_evolution,2022,2023,2,159920.SZ,hong_kong
rolling_differential_evolution,2022,2023,3,159928.SZ,a_share
rolling_differential_evolution,2022,2023,4,159980.SZ,commodity
rolling_differential_evolution,2022,2023,5,159981.SZ,commodity
rolling_differential_evolution,2022,2023,6,159985.SZ,commodity
rolling_differential_evolution,2022,2023,7,160644.SZ,global
rolling_differential_evolution,2022,2023,8,164824.SZ,global
rolling_differential_evolution,2022,2023,9,501018.SH,commodity
rolling_differential_evolution,2022,2023,10,513030.SH,global
rolling_differential_evolution,2022,2023,11,513070.SH,hong_kong
rolling_differential_evolution,2022,2023,12,513100.SH,global
rolling_differential_evolution,2022,2023,13,562500.SH,a_share
rolling_differential_evolution,2023,2024,1,159920.SZ,hong_kong
rolling_differential_evolution,2023,2024,2,159981.SZ,commodity
rolling_differential_evolution,2023,2024,3,159985.SZ,commodity
rolling_differential_evolution,2023,2024,4,501018.SH,commodity
rolling_differential_evolution,2023,2024,5,510050.SH,a_share
rolling_differential_evolution,2023,2024,6,512980.SH,a_share
rolling_differential_evolution,2023,2024,7,513100.SH,global
rolling_differential_evolution,2023,2024,8,513120.SH,hong_kong
rolling_differential_evolution,2023,2024,9,513290.SH,global
rolling_differential_evolution,2023,2024,10,513500.SH,global
rolling_differential_evolution,2023,2024,11,513880.SH,global
rolling_differential_evolution,2023,2024,12,515880.SH,a_share
rolling_differential_evolution,2023,2024,13,518880.SH,commodity
rolling_differential_evolution,2024,2025,1,159687.SZ,global
rolling_differential_evolution,2024,2025,2,159766.SZ,a_share
rolling_differential_evolution,2024,2025,3,159865.SZ,a_share
rolling_differential_evolution,2024,2025,4,159980.SZ,commodity
rolling_differential_evolution,2024,2025,5,159981.SZ,commodity
rolling_differential_evolution,2024,2025,6,501018.SH,commodity
rolling_differential_evolution,2024,2025,7,512880.SH,a_share
rolling_differential_evolution,2024,2025,8,513100.SH,global
rolling_differential_evolution,2024,2025,9,513180.SH,hong_kong
rolling_differential_evolution,2024,2025,10,513730.SH,global
rolling_differential_evolution,2024,2025,11,513750.SH,hong_kong
rolling_differential_evolution,2024,2025,12,513880.SH,global
rolling_differential_evolution,2024,2025,13,518880.SH,commodity
rolling_differential_evolution,2025,2026,1,159509.SZ,global
rolling_differential_evolution,2025,2026,2,159687.SZ,global
rolling_differential_evolution,2025,2026,3,159796.SZ,a_share
rolling_differential_evolution,2025,2026,4,159920.SZ,hong_kong
rolling_differential_evolution,2025,2026,5,159980.SZ,commodity
rolling_differential_evolution,2025,2026,6,159985.SZ,commodity
rolling_differential_evolution,2025,2026,7,160644.SZ,global
rolling_differential_evolution,2025,2026,8,161226.SZ,commodity
rolling_differential_evolution,2025,2026,9,512880.SH,a_share
rolling_differential_evolution,2025,2026,10,513750.SH,hong_kong
rolling_differential_evolution,2025,2026,11,513880.SH,global
rolling_differential_evolution,2025,2026,12,515880.SH,a_share
rolling_differential_evolution,2025,2026,13,518880.SH,commodity
