tradeDate,netValue
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.003105
2022-01-10,1.000886
2022-01-11,0.996737
2022-01-12,1.001602
2022-01-13,1.0012119999999998
2022-01-14,1.005352
2022-01-17,1.004324
2022-01-18,1.009738
2022-01-19,1.0077260000000001
2022-01-20,1.0130789999999998
2022-01-21,1.0093985200000002
2022-01-24,1.0097461140000001
2022-01-25,0.9972517639999999
2022-01-26,1.006167698
2022-01-27,1.005668942
2022-01-28,1.0084111116
2022-02-07,1.0298942776
2022-02-08,1.0292263888000002
2022-02-09,1.0238416292
2022-02-10,1.029968944
2022-02-11,1.021523
2022-02-14,1.0277690000000002
2022-02-15,1.0258660000000002
2022-02-16,1.021811
2022-02-17,1.02077
2022-02-18,1.022873
2022-02-21,1.022656
2022-02-22,1.029687
2022-02-23,1.028991
2022-02-24,1.043376
2022-02-25,1.033417
2022-02-28,1.03549
2022-03-01,1.036798
2022-03-02,1.0473810000000001
2022-03-03,1.05773
2022-03-04,1.0489610000000003
2022-03-07,1.063953
2022-03-08,1.071579
2022-03-09,1.073339
2022-03-10,1.0544580000000001
2022-03-11,1.039291
2022-03-14,1.034756
2022-03-15,1.026791
2022-03-16,1.0326520000000001
2022-03-17,1.0311350000000001
2022-03-18,1.0388230000000003
2022-03-21,1.0391160000000002
2022-03-22,1.0435070000000002
2022-03-23,1.0426980000000001
2022-03-24,1.0460890000000003
2022-03-25,1.0423710000000004
2022-03-28,1.0389090000000003
2022-03-29,1.039983
2022-03-30,1.0387904960000003
2022-03-31,1.0382634568000002
2022-04-01,1.0300139144
2022-04-06,1.0282179144
2022-04-07,1.0239073328000001
2022-04-08,1.0260019608
2022-04-11,1.0218395288
2022-04-12,1.0187854055999999
2022-04-13,1.0198619248
2022-04-14,1.0222147624
2022-04-15,1.0177406784
2022-04-18,1.0128055104
2022-04-19,1.0165601504
2022-04-20,1.0169145824
2022-04-21,1.0180022752000002
2022-04-22,1.0107360000000003
2022-04-25,0.9901970000000001
2022-04-26,1.0043220000000002
2022-04-27,1.008718
2022-04-28,1.013532
2022-04-29,1.0145680000000001
2022-05-05,1.01261
2022-05-06,1.0018660000000001
2022-05-09,0.9964720000000001
2022-05-10,0.99133
2022-05-11,0.9907630000000002
2022-05-12,0.9879720000000001
2022-05-13,0.9970290000000003
2022-05-16,1.001613
2022-05-17,1.0073060000000003
2022-05-18,1.003301
2022-05-19,1.0001760000000002
2022-05-20,1.0040789688000002
2022-05-23,1.0033888744000001
2022-05-24,0.9964099616000001
2022-05-25,1.0000649640000001
2022-05-26,1.0011815088
2022-05-27,1.00859356
2022-05-30,1.00971044
2022-05-31,1.01549464
2022-06-01,1.01067592
2022-06-02,1.007759
2022-06-06,1.02052
2022-06-07,1.018936
2022-06-08,1.022957
2022-06-09,1.0180660000000001
2022-06-10,1.018797
2022-06-13,1.015115
2022-06-14,1.017504
2022-06-15,1.013352
2022-06-16,1.0104330000000001
2022-06-17,1.014157016
2022-06-20,1.009782016
2022-06-21,1.010293936
2022-06-22,1.0008507759999998
2022-06-23,1.008411832
2022-06-24,1.0139716639999998
2022-06-27,1.022881736
2022-06-28,1.029093816
2022-06-29,1.017264688
2022-06-30,1.0219437919999999
2022-07-01,1.0202894820000001
2022-07-04,1.023170156
2022-07-05,1.023465038
2022-07-06,1.0152248320000001
2022-07-07,1.0185116400000003
2022-07-08,1.018058552
2022-07-11,1.007198608
2022-07-12,1.0029046480000001
2022-07-13,1.003989584
2022-07-14,1.005860992
2022-07-15,0.9993156912
2022-07-18,1.0141189616000001
2022-07-19,1.0134951695999999
2022-07-20,1.0259737312000001
2022-07-21,1.0227760415999998
2022-07-22,1.0235188056
2022-07-25,1.0190523360000001
2022-07-26,1.0268492024
2022-07-27,1.0305347368
2022-07-28,1.0375506072
2022-07-29,1.0444962143999998
2022-08-01,1.0488250159999999
2022-08-02,1.0503464815999999
2022-08-03,1.0508284816
2022-08-04,1.0540012183999998
2022-08-05,1.0552662607999999
2022-08-08,1.0561139776
2022-08-09,1.0549607231999998
2022-08-10,1.0515422896000002
2022-08-11,1.0635074864
2022-08-12,1.0620684864
2022-08-15,1.0628298911999998
2022-08-16,1.0662260415999998
2022-08-17,1.0696012208
2022-08-18,1.064618608
2022-08-19,1.0617390688
2022-08-22,1.0506505391999998
2022-08-23,1.039863144
2022-08-24,1.038519144
2022-08-25,1.0500226063999998
2022-08-26,1.0477319327999999
2022-08-29,1.0297281824
2022-08-30,1.0336720687999998
2022-08-31,1.034174188
2022-09-01,1.0217270911999998
2022-09-02,1.0254864767999998
2022-09-05,1.0309519407999999
2022-09-06,1.0288597551999998
2022-09-07,1.0252995904
2022-09-08,1.0217966111999999
2022-09-09,1.0300789999999997
2022-09-13,1.049906
2022-09-14,1.045561
2022-09-15,1.0406909999999998
2022-09-16,1.032112
2022-09-19,1.031729
2022-09-20,1.035362
2022-09-21,1.037534
2022-09-22,1.035281
2022-09-23,1.027416
2022-09-26,1.0165
2022-09-27,1.02128
2022-09-28,1.019345
2022-09-29,1.026722
2022-09-30,1.023417
2022-10-10,1.028213
2022-10-11,1.026202
2022-10-12,1.0276969999999999
2022-10-13,1.023793
2022-10-14,1.03327
2022-10-17,1.0244529999999998
2022-10-18,1.0226439999999999
2022-10-19,1.01893
2022-10-20,1.02331
2022-10-21,1.0224389999999999
2022-10-24,1.027018
2022-10-25,1.032115
2022-10-26,1.037694
2022-10-27,1.039536
2022-10-28,1.03516694
2022-10-31,1.0457376320000003
2022-11-01,1.04722282
2022-11-02,1.0452345688000002
2022-11-03,1.0397286288
2022-11-04,1.0393820800000002
2022-11-07,1.0457854288000001
2022-11-08,1.0505967104000002
2022-11-09,1.0556851264000002
2022-11-10,1.0511969456
2022-11-11,1.0689380000000004
2022-11-14,1.0657060000000003
2022-11-15,1.0626060000000004
2022-11-16,1.0662800000000003
2022-11-17,1.0636910000000004
2022-11-18,1.0530200000000003
2022-11-21,1.048971
2022-11-22,1.0450610000000002
2022-11-23,1.0488060000000001
2022-11-24,1.0502120000000001
2022-11-25,1.0507532892000002
2022-11-28,1.0470763228000002
2022-11-29,1.0506716180000002
2022-11-30,1.0515188260000001
2022-12-01,1.0597089132000002
2022-12-02,1.05581651
2022-12-05,1.0612213500000003
2022-12-06,1.0566291300000004
2022-12-07,1.0527106900000003
2022-12-08,1.055913
2022-12-09,1.0585076720000002
2022-12-12,1.0520081360000002
2022-12-13,1.053273968
2022-12-14,1.054557608
2022-12-15,1.0505571120000001
2022-12-16,1.0478145444000002
2022-12-19,1.0426226308
2022-12-20,1.0400883360000002
2022-12-21,1.0435133144000002
2022-12-22,1.051570458
2022-12-23,1.0494353412000001
2022-12-26,1.0528221944000002
2022-12-27,1.0603710804
2022-12-28,1.0602116348000001
2022-12-29,1.0601033032
2022-12-30,1.0667156728
2023-01-03,1.0667156728
2023-01-04,1.0667156728
2023-01-05,1.0667156728
2023-01-06,1.0628905114677305
2023-01-09,1.064248424731813
2023-01-10,1.0617007573957395
2023-01-11,1.0637836870078992
2023-01-12,1.06868585568578
2023-01-13,1.0751449197825433
2023-01-16,1.0754206965053736
2023-01-17,1.0757595357520346
2023-01-18,1.0822509401078797
2023-01-19,1.0852096330469376
2023-01-20,1.0868502916739977
2023-01-30,1.0978842121315413
2023-01-31,1.0835933070577468
2023-02-01,1.1008509156786157
2023-02-02,1.1064993808288732
2023-02-03,1.1107251613127098
2023-02-06,1.1014645289353744
2023-02-07,1.100805298649584
2023-02-08,1.0985800166842616
2023-02-09,1.1089039171093429
2023-02-10,1.101498454760632
2023-02-13,1.100429524586095
2023-02-14,1.1057267407462408
2023-02-15,1.1103233807211184
2023-02-16,1.1111343961134228
2023-02-17,1.089955623669821
2023-02-20,1.105831784078718
2023-02-21,1.103718466297158
2023-02-22,1.096047548339781
2023-02-23,1.096605979754756
2023-02-24,1.096769341499781
2023-02-27,1.090091214965706
2023-02-28,1.0959177983789197
2023-03-01,1.1002399478767253
2023-03-02,1.0950933818376178
2023-03-03,1.0963020987007808
2023-03-06,1.0982072528924016
2023-03-07,1.094601753918338
2023-03-08,1.08466316399486
2023-03-09,1.0814768842802067
2023-03-10,1.0718039065592564
2023-03-13,1.0871582119535397
2023-03-14,1.0696054055576156
2023-03-15,1.0700960947671037
2023-03-16,1.0532238529704259
2023-03-17,1.0623294928405627
2023-03-20,1.0576628535965056
2023-03-21,1.062206670557967
2023-03-22,1.068677275984952
2023-03-23,1.0740878997018368
2023-03-24,1.0811645209165446
2023-03-27,1.0850244170712384
2023-03-28,1.0840639838278407
2023-03-29,1.0853131078806897
2023-03-30,1.0888349848797316
2023-03-31,1.0982713701846902
2023-04-03,1.1089116678654216
2023-04-04,1.107901634049984
2023-04-06,1.0997368915924133
2023-04-07,1.1028189930810004
2023-04-10,1.093254552826385
2023-04-11,1.0964582344071665
2023-04-12,1.0964097640203818
2023-04-13,1.0897743912371298
2023-04-14,1.0930437922104688
2023-04-17,1.0959295631860755
2023-04-18,1.0930742917449856
2023-04-19,1.0920120968132068
2023-04-20,1.092189099078226
2023-04-21,1.0838215253290213
2023-04-24,1.0866248541171397
2023-04-25,1.0977613657411718
2023-04-26,1.092649664237114
2023-04-27,1.0881758587053907
2023-04-28,1.0969773297216636
2023-05-04,1.0888073543836883
2023-05-05,1.0851371659310494
2023-05-08,1.0985085435340374
2023-05-09,1.0976221028099407
2023-05-10,1.0968754018389808
2023-05-11,1.0958224839200652
2023-05-12,1.094448440421608
2023-05-15,1.0949218676113925
2023-05-16,1.0969403855177382
2023-05-17,1.0923700925666064
2023-05-18,1.1026120222925269
2023-05-19,1.1069833030074765
2023-05-22,1.1101935213152294
2023-05-23,1.1181040125188746
2023-05-24,1.1043248232205525
2023-05-25,1.1049451072904428
2023-05-26,1.1040838582303465
2023-05-29,1.1161683636996291
2023-05-30,1.1221957586850217
2023-05-31,1.112395175528399
2023-06-01,1.121013199823587
2023-06-02,1.1282832530714495
2023-06-05,1.1319905700564823
2023-06-06,1.1269285472080521
2023-06-07,1.1330000739275736
2023-06-08,1.1236776795661556
2023-06-09,1.1328979557428145
2023-06-12,1.1403448800496683
2023-06-13,1.1565488014362781
2023-06-14,1.1558567626032255
2023-06-15,1.1546669127401672
2023-06-16,1.1661571959235346
2023-06-19,1.1642196050417353
2023-06-20,1.167233106685434
2023-06-21,1.1571150045149594
2023-06-26,1.1425285358893056
2023-06-27,1.1423797519873367
2023-06-28,1.1412992283201817
2023-06-29,1.1417049974683453
2023-06-30,1.145326665611906
