method,training_period,holding_period,code,eligible,excess_elite_frequency,elite_inclusion_rate,overall_inclusion_rate,rank,group,selected
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,164824.SZ,True,0.17999999999999994,0.84,0.66,1,global,True
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159981.SZ,True,0.15000000000000002,0.84,0.69,2,commodity,True
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512880.SH,True,0.13,0.2,0.07,3,a_share,True
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159869.SZ,True,0.12,0.24,0.12,4,a_share,True
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,501018.SH,True,0.1100000000000001,0.8,0.69,5,commodity,True
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513100.SH,True,0.10000000000000003,0.56,0.46,6,global,True
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512100.SH,True,0.1,0.16,0.06,7,a_share,True
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588000.SH,True,0.08000000000000002,0.2,0.12,8,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159980.SZ,True,0.06000000000000005,0.68,0.62,9,commodity,True
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510210.SH,True,0.05000000000000002,0.2,0.15,10,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159949.SZ,True,0.05,0.08,0.03,11,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515880.SH,True,0.05,0.16,0.11,12,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159915.SZ,True,0.03,0.08,0.05,13,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510880.SH,True,0.03,0.12,0.09,14,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512660.SH,True,0.020000000000000004,0.08,0.06,15,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515220.SH,True,0.02,0.04,0.02,16,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512400.SH,True,0.01999999999999999,0.12,0.1,17,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159851.SZ,True,0.009999999999999995,0.08,0.07,18,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512200.SH,True,0.009999999999999995,0.12,0.11,19,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515210.SH,True,0.009999999999999995,0.08,0.07,20,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515790.SH,True,0.009999999999999995,0.12,0.11,21,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159865.SZ,True,0.0,0.08,0.08,22,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159920.SZ,True,0.0,1.0,1.0,23,hong_kong,True
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159985.SZ,True,0.0,0.68,0.68,24,commodity,True
