method,training_period,holding_period,parent_count,offspring_count,generations,training_sharpe,codes
rolling_evolution_strategy,2021-07-01/2021-12-31,2022-01-01/2022-06-30,10,20,5,1.4680145905412334,159865.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|501018.SH|512100.SH|512890.SH|513030.SH|513100.SH|513180.SH|513500.SH
rolling_evolution_strategy,2022-01-01/2022-06-30,2022-07-01/2022-12-31,10,20,5,1.1875003909502417,159949.SZ|159980.SZ|159985.SZ|160644.SZ|501018.SH|513070.SH|513080.SH|513180.SH|513500.SH|513880.SH|515880.SH|518880.SH|588000.SH
rolling_evolution_strategy,2022-07-01/2022-12-31,2023-01-01/2023-06-30,10,20,5,1.4646604239465015,159980.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|513030.SH|513100.SH|513120.SH|513180.SH|513290.SH|515220.SH|515790.SH|515880.SH
rolling_evolution_strategy,2023-01-01/2023-06-30,2023-07-01/2023-12-31,10,20,5,3.1005164708135857,159920.SZ|159949.SZ|159980.SZ|159985.SZ|161226.SZ|164824.SZ|512040.SH|512170.SH|513100.SH|513120.SH|513500.SH|513880.SH|518880.SH
rolling_evolution_strategy,2023-07-01/2023-12-31,2024-01-01/2024-06-30,10,20,5,1.3603362094736329,159766.SZ|159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|513030.SH|513120.SH|513290.SH|588200.SH
rolling_evolution_strategy,2024-01-01/2024-06-30,2024-07-01/2024-12-31,10,20,5,4.015719245948399,159509.SZ|159980.SZ|159985.SZ|160644.SZ|501018.SH|510210.SH|512800.SH|513120.SH|513180.SH|513310.SH|513730.SH|518880.SH|563300.SH
rolling_evolution_strategy,2024-07-01/2024-12-31,2025-01-01/2025-06-30,10,20,5,1.780011607273347,159329.SZ|159509.SZ|159766.SZ|159852.SZ|159901.SZ|159980.SZ|159981.SZ|501018.SH|513180.SH|513400.SH|513730.SH|513750.SH|518880.SH
rolling_evolution_strategy,2025-01-01/2025-06-30,2025-07-01/2025-12-31,10,20,5,1.901312921606661,159209.SZ|159529.SZ|159687.SZ|159980.SZ|159981.SZ|161226.SZ|164824.SZ|512880.SH|513070.SH|513120.SH|513310.SH|518880.SH|588000.SH
rolling_evolution_strategy,2025-07-01/2025-12-31,2026-01-01/2026-06-30,10,20,5,3.8586263379836394,159509.SZ|159869.SZ|159980.SZ|161226.SZ|501018.SH|512100.SH|512170.SH|513070.SH|513100.SH|513290.SH|513400.SH|513750.SH|518880.SH
rolling_evolution_strategy,2026-01-01/2026-06-30,2026-07-01/2026-07-26,10,20,5,3.377038894787299,159326.SZ|159509.SZ|159687.SZ|159920.SZ|159985.SZ|161226.SZ|501018.SH|513120.SH|513290.SH|513400.SH|515880.SH|518880.SH|588200.SH
