method,training_period,holding_period,population_size,generations,training_sharpe,codes
rolling_genetic,2021-07-01/2021-12-31,2022-01-01/2022-06-30,20,4,1.638481742271115,159851.SZ|159920.SZ|159980.SZ|159981.SZ|161226.SZ|164824.SZ|501018.SH|512890.SH|513030.SH|513100.SH|513180.SH|513500.SH|515880.SH
rolling_genetic,2022-01-01/2022-06-30,2022-07-01/2022-12-31,20,4,1.375120234306623,159980.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512170.SH|512880.SH|513070.SH|513080.SH|513100.SH|513180.SH|515790.SH|518880.SH
rolling_genetic,2022-07-01/2022-12-31,2023-01-01/2023-06-30,20,4,1.5857000794477176,159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|510880.SH|512100.SH|513030.SH|513100.SH|513120.SH|513180.SH|515210.SH|518880.SH
rolling_genetic,2023-01-01/2023-06-30,2023-07-01/2023-12-31,20,4,3.343250933988714,159981.SZ|159985.SZ|161226.SZ|164824.SZ|512170.SH|512890.SH|513070.SH|513100.SH|513120.SH|513500.SH|513880.SH|518880.SH|588200.SH
rolling_genetic,2023-07-01/2023-12-31,2024-01-01/2024-06-30,20,4,1.9121899441309158,159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510050.SH|512880.SH|513030.SH|513120.SH|513290.SH|563300.SH
rolling_genetic,2024-01-01/2024-06-30,2024-07-01/2024-12-31,20,4,3.72651972692431,159518.SZ|159852.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|510210.SH|512800.SH|513100.SH|513120.SH|513310.SH|513750.SH
rolling_genetic,2024-07-01/2024-12-31,2025-01-01/2025-06-30,20,4,2.0278166455315927,159529.SZ|159852.SZ|159920.SZ|159980.SZ|159981.SZ|161226.SZ|501018.SH|510210.SH|512880.SH|513120.SH|513290.SH|513730.SH|513880.SH
rolling_genetic,2025-01-01/2025-06-30,2025-07-01/2025-12-31,20,4,2.004898530608497,159206.SZ|159329.SZ|159529.SZ|159980.SZ|161226.SZ|501018.SH|513080.SH|513120.SH|513500.SH|513750.SH|515220.SH|518880.SH|588220.SH
rolling_genetic,2025-07-01/2025-12-31,2026-01-01/2026-06-30,20,4,4.4560175464980105,159206.SZ|159509.SZ|159920.SZ|159981.SZ|159985.SZ|161226.SZ|513100.SH|513290.SH|513500.SH|513750.SH|515880.SH|516150.SH|518880.SH
rolling_genetic,2026-01-01/2026-06-30,2026-07-01/2026-07-26,20,4,3.3768465756573405,159509.SZ|159518.SZ|159920.SZ|159967.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|512880.SH|513070.SH|513500.SH|515880.SH
