method,training_period,holding_period,accepted_moves,training_sharpe,codes
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,15,1.9711729561257276,159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512040.SH|513100.SH|513180.SH|513500.SH|516150.SH|588000.SH
rolling_hill_climb,2022-01-01/2022-06-30,2022-07-01/2022-12-31,8,1.8303711435354477,159796.SZ|159928.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510180.SH|513070.SH|513180.SH|513500.SH|513880.SH
rolling_hill_climb,2022-07-01/2022-12-31,2023-01-01/2023-06-30,9,1.7000854074949918,159852.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512200.SH|513070.SH|513120.SH|513290.SH|513880.SH|518880.SH|562500.SH
rolling_hill_climb,2023-01-01/2023-06-30,2023-07-01/2023-12-31,14,3.9596225512157144,159687.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|512100.SH|513070.SH|513080.SH|513500.SH|515880.SH|518880.SH|562500.SH
rolling_hill_climb,2023-07-01/2023-12-31,2024-01-01/2024-06-30,15,2.3186591303820125,159509.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510210.SH|512170.SH|513120.SH|513290.SH|513310.SH|563300.SH
rolling_hill_climb,2024-01-01/2024-06-30,2024-07-01/2024-12-31,21,4.988899605225841,159509.SZ|159825.SZ|159901.SZ|159920.SZ|159985.SZ|161226.SZ|501018.SH|512800.SH|513030.SH|513100.SH|513120.SH|513500.SH|518880.SH
rolling_hill_climb,2024-07-01/2024-12-31,2025-01-01/2025-06-30,8,2.453272515235451,159529.SZ|159851.SZ|159980.SZ|159981.SZ|164824.SZ|501018.SH|510180.SH|513100.SH|513120.SH|513180.SH|513730.SH|518880.SH|588000.SH
rolling_hill_climb,2025-01-01/2025-06-30,2025-07-01/2025-12-31,14,2.4473142067841356,159206.SZ|159329.SZ|159687.SZ|159851.SZ|159852.SZ|159981.SZ|161226.SZ|501018.SH|513120.SH|513310.SH|513750.SH|513880.SH|518880.SH
rolling_hill_climb,2025-07-01/2025-12-31,2026-01-01/2026-06-30,10,4.320502040798547,159509.SZ|159529.SZ|159869.SZ|159920.SZ|159980.SZ|159985.SZ|161226.SZ|512660.SH|513080.SH|513290.SH|513750.SH|515880.SH|518880.SH
rolling_hill_climb,2026-01-01/2026-06-30,2026-07-01/2026-07-26,11,3.7278687984466172,159509.SZ|159518.SZ|159920.SZ|159949.SZ|159985.SZ|161226.SZ|501018.SH|512980.SH|513180.SH|513290.SH|513310.SH|518880.SH|588200.SH
