method,training_period,holding_period,evaluation,codes,sharpe,maximum_within_group_correlation,phase,removed,added
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,1,159901.SZ|159920.SZ|159980.SZ|159985.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|516150.SH|518880.SH,-1.3809150180987266,0.9194433972050108,initial,,
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,2,159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|516150.SH,-0.19910924570860905,0.9194433972050108,neighbor,518880.SH,159981.SZ
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,3,159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH|516150.SH,0.51981942654732,0.9194433972050108,neighbor,513880.SH,164824.SZ
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,4,159766.SZ|159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.46960243360510884,0.9194433972050108,neighbor,516150.SH,159766.SZ
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,5,159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|516150.SH,0.6516846390051144,0.9194433972050108,neighbor,513500.SH,160644.SZ
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,6,159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|515210.SH|516150.SH,0.7917341927219842,0.9194433972050108,neighbor,159901.SZ,515210.SH
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,7,159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513880.SH|515210.SH|516150.SH,0.21183413865998516,0.9194433972050108,neighbor,160644.SZ,513880.SH
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,8,159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|515210.SH|516150.SH,-0.10252468964649748,0.9194433972050108,neighbor,159981.SZ,161226.SZ
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,9,159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|515210.SH|516150.SH,0.4073770989433201,0.9194433972050108,neighbor,159985.SZ,161226.SZ
rolling_hill_climb,2021-07-01/2021-12-31,2022-01-01/2022-06-30,10,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|515210.SH,0.1778942028403911,0.9194433972050108,neighbor,516150.SH,159865.SZ
