method,training_year,holding_year,evaluation,codes,sharpe,maximum_within_group_correlation,phase,removed,added
rolling_hill_climb,2021,2022,1,159865.SZ|159901.SZ|159920.SZ|159980.SZ|159985.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|515210.SH|518880.SH,-0.04141558142205041,0.910284859375849,initial,,
rolling_hill_climb,2021,2022,2,159865.SZ|159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|515210.SH,0.6521923424089844,0.910284859375849,neighbor,518880.SH,159981.SZ
rolling_hill_climb,2021,2022,3,159865.SZ|159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|515210.SH,0.6396720765830668,0.910284859375849,neighbor,513880.SH,164824.SZ
rolling_hill_climb,2021,2022,4,159865.SZ|159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|516150.SH,0.6809922945291886,0.910284859375849,neighbor,515210.SH,516150.SH
rolling_hill_climb,2021,2022,5,159865.SZ|159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|516150.SH,0.7601322431634413,0.910284859375849,neighbor,513880.SH,164824.SZ
rolling_hill_climb,2021,2022,6,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510500.SH|513030.SH|513080.SH|513180.SH|513500.SH|516150.SH,0.8336260233261608,0.910284859375849,neighbor,159901.SZ,510500.SH
rolling_hill_climb,2021,2022,7,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|515880.SH|516150.SH,1.2916658977240076,0.910284859375849,neighbor,510500.SH,515880.SH
rolling_hill_climb,2021,2022,8,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|515880.SH|516150.SH,1.1332852968529952,0.910284859375849,neighbor,164824.SZ,513880.SH
rolling_hill_climb,2021,2022,9,159865.SZ|159920.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|515880.SH|516150.SH,1.291215900688198,0.910284859375849,neighbor,159980.SZ,161226.SZ
rolling_hill_climb,2021,2022,10,159865.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513880.SH|515880.SH|516150.SH,1.3112590470988799,0.910284859375849,neighbor,513500.SH,513880.SH
rolling_hill_climb,2021,2022,11,159865.SZ|159920.SZ|159980.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513880.SH|515880.SH|516150.SH,0.44097348657237506,0.910284859375849,neighbor,159981.SZ,161226.SZ
