method,training_period,holding_period,code,eligible,mean_included_sharpe,included_count,excluded_count,excluded_mean_sharpe,rank,group,selected
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512880.SH,True,0.20993518287933646,7,93,-0.545347470546721,1,a_share,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159949.SZ,True,0.10910675632945925,3,97,-0.5110833891719389,2,a_share,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512100.SH,True,0.05034949573694144,6,94,-0.5271262282458653,3,a_share,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159869.SZ,True,-0.004962415388784762,12,88,-0.5589570397275486,4,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515220.SH,True,-0.06850046021870734,2,98,-0.501130281227064,5,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510300.SH,True,-0.1440847238232602,5,95,-0.5108141564376146,6,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510880.SH,True,-0.23977037124771514,9,91,-0.5174707158182446,7,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515210.SH,True,-0.25141035661661704,7,93,-0.5106225374663804,8,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588000.SH,True,-0.28246156903764436,12,88,-0.5211162460481588,9,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159981.SZ,True,-0.3062003408398263,69,31,-0.9070949987981187,10,commodity,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159915.SZ,True,-0.316143608932957,5,95,-0.5017584256423675,11,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510210.SH,True,-0.3366016568870092,15,85,-0.5199852191457006,12,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515880.SH,True,-0.355603896096669,11,89,-0.5093946699283858,13,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,164824.SZ,True,-0.36225346129425784,66,34,-0.7452658833902553,14,global,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513100.SH,True,-0.3649155372668663,46,54,-0.6011417364150711,15,global,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510500.SH,True,-0.366646890334303,12,88,-0.5096364295077053,16,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510050.SH,True,-0.38106109488842604,9,91,-0.5034969079856467,17,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512040.SH,True,-0.39602970876350096,9,91,-0.5020164956243756,18,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512890.SH,True,-0.41457381645262853,6,94,-0.49745027214865867,19,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515790.SH,True,-0.41482683696852196,11,89,-0.5020749806071456,20,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,501018.SH,True,-0.437043538834191,69,31,-0.6158633645525975,21,commodity,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512660.SH,True,-0.4654251268072782,6,94,-0.4942044438281492,22,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159980.SZ,True,-0.4770875050677979,62,38,-0.5175879780654271,23,commodity,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159928.SZ,True,-0.4848568817223106,7,93,-0.49305129364122063,24,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513500.SH,True,-0.4911354425768833,61,39,-0.4945770893205083,25,global,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159985.SZ,True,-0.491258809341904,68,32,-0.49506779517000676,26,commodity,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159920.SZ,True,-0.49247768480689685,100,0,,27,hong_kong,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513180.SH,True,-0.49247768480689685,100,0,,28,hong_kong,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512200.SH,True,-0.49252033685357427,11,89,-0.49247241320562224,29,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,160644.SZ,True,-0.5217348725787585,55,45,-0.45671889975239943,30,global,True
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,161226.SZ,True,-0.5219841279390592,73,27,-0.41270100522734693,31,commodity,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510180.SH,True,-0.5226303923742944,9,91,-0.48949554889363783,32,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513030.SH,True,-0.536993092958069,64,36,-0.4133391814270355,33,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512980.SH,True,-0.5601642051125575,7,93,-0.4873830004828148,34,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513080.SH,True,-0.5681871324865786,51,49,-0.4136780555892692,35,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513880.SH,True,-0.6016920889106736,57,43,-0.34770510262282095,36,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159825.SZ,True,-0.645551351404666,9,91,-0.4773385309675571,37,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159870.SZ,True,-0.6905177236384292,13,87,-0.4628854950964381,38,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159967.SZ,True,-0.71717265933465,14,86,-0.4558994331395883,39,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512170.SH,True,-0.7396305463860081,11,89,-0.46193070191509666,40,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159851.SZ,True,-0.755045352071001,7,93,-0.4727145270558353,41,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,518880.SH,True,-0.7562267887499546,59,41,-0.1129362913278628,42,commodity,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,516150.SH,True,-0.7566406414476845,7,93,-0.4725944515113536,43,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512400.SH,True,-0.7832495093867367,10,90,-0.4601697042980258,44,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159901.SZ,True,-0.7940482676003554,9,91,-0.46265202277237905,45,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159865.SZ,True,-0.8383329935167034,8,92,-0.46240331013647895,46,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159852.SZ,True,-0.8756097413728846,9,91,-0.45458550338828274,47,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159766.SZ,True,-0.8760756492654135,11,89,-0.44506670043561963,48,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512800.SH,True,-0.8777809420460997,11,89,-0.44485593391216405,49,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159201.SZ,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159206.SZ,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159209.SZ,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159326.SZ,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159329.SZ,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159509.SZ,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159518.SZ,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159529.SZ,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159611.SZ,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159687.SZ,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159796.SZ,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513070.SH,False,,0,100,-0.49247768480689685,,hong_kong,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513120.SH,False,,0,100,-0.49247768480689685,,hong_kong,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513290.SH,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513310.SH,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513400.SH,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513730.SH,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513750.SH,False,,0,100,-0.49247768480689685,,hong_kong,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,520870.SH,False,,0,100,-0.49247768480689685,,global,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,562500.SH,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,563300.SH,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588200.SH,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588220.SH,False,,0,100,-0.49247768480689685,,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,562500.SH,True,0.7210619013193282,8,92,0.008408771464188258,1,a_share,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159870.SZ,True,0.38271660798967944,8,92,0.03783010131894033,2,a_share,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515790.SH,True,0.32524299102247156,10,90,0.03655191416705812,3,a_share,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510210.SH,True,0.30172679917339784,6,94,0.05033767436403787,4,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159796.SZ,True,0.29177646624117387,7,93,0.0483835152857175,5,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159852.SZ,True,0.27559230504821064,7,93,0.049601677956155596,6,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515880.SH,True,0.25333507640454517,7,93,0.051276953230409976,7,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159611.SZ,True,0.2470075582474674,10,90,0.04524474003094745,8,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510050.SH,True,0.2430948995842153,12,88,0.04119276579828821,9,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,501018.SH,True,0.2268708983118928,69,31,-0.2939351547826019,10,commodity,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510180.SH,True,0.2257709650385778,8,92,0.0514775485320796,11,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513180.SH,True,0.2118866049740691,52,48,-0.09325002652899265,12,hong_kong,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515210.SH,True,0.2077130884110688,5,95,0.057931965717943165,13,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512170.SH,True,0.19239873380924755,8,92,0.05437948168245614,14,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159928.SZ,True,0.19216102404758623,9,91,0.05288629636078758,15,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512200.SH,True,0.16961431135619018,7,93,0.05757851619103887,16,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513500.SH,True,0.16958368177813854,47,53,-0.02694963883608613,17,global,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159901.SZ,True,0.14625031129920746,6,94,0.060261705504943607,18,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159869.SZ,True,0.13344949971977477,5,95,0.06184057564906389,19,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159985.SZ,True,0.12735935075523463,67,33,-0.06033255501032653,20,commodity,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,516150.SH,True,0.09826267603029998,10,90,0.06177194916618828,21,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515220.SH,True,0.08063380490789919,10,90,0.06373071262423281,22,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,160644.SZ,True,0.07807588398120019,72,28,0.03287994780762616,23,global,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512400.SH,True,0.06714003437956083,9,91,0.06525100962465823,24,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,164824.SZ,True,0.06680350588521666,81,19,0.05952727413459978,25,global,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513070.SH,True,0.06542102185259945,100,0,,26,hong_kong,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,518880.SH,True,0.05627030862075482,72,28,0.08895142730591424,27,commodity,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513100.SH,True,0.04926551225313121,39,61,0.07574995421947259,28,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513080.SH,True,0.047688347350849425,51,49,0.08387747898707397,29,global,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159967.SZ,True,0.03498817483242879,8,92,0.06806735637609256,30,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513880.SH,True,0.0336266186735422,73,27,0.1513836674848654,31,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159980.SZ,True,0.02395873126537457,59,41,0.12508626928299627,32,commodity,True
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512660.SH,True,0.02177708573263156,8,92,0.06921614673259667,33,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159766.SZ,True,0.013476485803765875,5,95,0.06815494480253807,34,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513030.SH,True,0.009654708599575422,37,63,0.09817266614405802,35,global,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159949.SZ,True,-0.002099104927612311,11,89,0.07376620606138967,36,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159981.SZ,True,-0.011380262110187434,66,34,0.214505867192127,37,commodity,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159915.SZ,True,-0.014032685544105798,9,91,0.07327908082589998,38,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159851.SZ,True,-0.025439210775605695,6,94,0.07122061116929342,39,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,161226.SZ,True,-0.04078641506209878,67,33,0.28105430286122923,40,commodity,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510500.SH,True,-0.04627472272981685,13,87,0.08211119058330534,41,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512100.SH,True,-0.05554078762123321,7,93,0.07452567417858687,42,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588000.SH,True,-0.07528602362394739,9,91,0.07933710327335683,43,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510880.SH,True,-0.0921104557960441,8,92,0.07911941121335107,44,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159920.SZ,True,-0.09325002652899265,48,52,0.2118866049740691,45,hong_kong,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512800.SH,True,-0.09605605337208255,6,94,0.07572806920736637,46,a_share,False
rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512880.SH,True,-0.11472726824131935,11,89,0.08768654085297145,47,a_share,False
