tradeDate,netValue
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0046419999999998
2022-01-10,1.0031670000000001
2022-01-11,1.002375
2022-01-12,1.0106030000000001
2022-01-13,1.0116329999999998
2022-01-14,1.01634
2022-01-17,1.015305
2022-01-18,1.020769
2022-01-19,1.018745
2022-01-20,1.024138
2022-01-21,1.0204305679999999
2022-01-24,1.0207886976
2022-01-25,1.0081810576
2022-01-26,1.0171770431999998
2022-01-27,1.0166775328
2022-01-28,1.0194469088
2022-02-07,1.0411683968
2022-02-08,1.0404931984
2022-02-09,1.0350416256
2022-02-10,1.0412349920000001
2022-02-11,1.0326870000000001
2022-02-14,1.038998
2022-02-15,1.037065
2022-02-16,1.032966
2022-02-17,1.031906
2022-02-18,1.0340239999999998
2022-02-21,1.033808
2022-02-22,1.040908
2022-02-23,1.0402120000000001
2022-02-24,1.05474
2022-02-25,1.044664
2022-02-28,1.046745
2022-03-01,1.048073
2022-03-02,1.058761
2022-03-03,1.0692169999999999
2022-03-04,1.060355
2022-03-07,1.0755430000000001
2022-03-08,1.0833279999999998
2022-03-09,1.0850670000000002
2022-03-10,1.06591
2022-03-11,1.050536
2022-03-14,1.046001
2022-03-15,1.038036
2022-03-16,1.043897
2022-03-17,1.04238
2022-03-18,1.0501550000000002
2022-03-21,1.0504550000000001
2022-03-22,1.05492
2022-03-23,1.054106
2022-03-24,1.057492
2022-03-25,1.0537449346
2022-03-28,1.0502737636000001
2022-03-29,1.0519364476
2022-03-30,1.05057161
2022-03-31,1.0496262402
2022-04-01,1.0427661233
2022-04-06,1.0426419273
2022-04-07,1.0384528581
2022-04-08,1.0393614819
2022-04-11,1.0340870183000002
2022-04-12,1.0295856657
2022-04-13,1.0310710227
2022-04-14,1.0338183477
2022-04-15,1.027806288
2022-04-18,1.021922488
2022-04-19,1.024865136
2022-04-20,1.0259538263999999
2022-04-21,1.0300933360000002
2022-04-22,1.022941
2022-04-25,1.00215
2022-04-26,1.016445
2022-04-27,1.0208970000000002
2022-04-28,1.0257680000000002
2022-04-29,1.0267790000000003
2022-05-05,1.024785
2022-05-06,1.013555
2022-05-09,1.0071990000000002
2022-05-10,1.001475
2022-05-11,1.000177
2022-05-12,0.9954570000000001
2022-05-13,1.004328
2022-05-16,1.0089670000000002
2022-05-17,1.0147220000000001
2022-05-18,1.010652
2022-05-19,1.0074990000000001
2022-05-20,1.0120140000000002
2022-05-23,1.01198
2022-05-24,1.0043080000000002
2022-05-25,1.007146
2022-05-26,1.0081260000000003
2022-05-27,1.0129380000000001
2022-05-30,1.013937
2022-05-31,1.0195720000000001
2022-06-01,1.0143710000000001
2022-06-02,1.0129851892
2022-06-06,1.0232358904000003
2022-06-07,1.0232238144
2022-06-08,1.0298334396
2022-06-09,1.0282104776
2022-06-10,1.031922
2022-06-13,1.0281990000000003
2022-06-14,1.0306150000000003
2022-06-15,1.0263980000000001
2022-06-16,1.0234450000000004
2022-06-17,1.0264360000000001
2022-06-20,1.0225450000000003
2022-06-21,1.0246250000000003
2022-06-22,1.0162290000000003
2022-06-23,1.0249810000000004
2022-06-24,1.0315900000000002
2022-06-27,1.0365820000000003
2022-06-28,1.0407050000000002
2022-06-29,1.0298740000000002
2022-06-30,1.0324860000000005
2022-07-01,1.0324860000000005
2022-07-04,1.0355684866615256
2022-07-05,1.0355394945128786
2022-07-06,1.0312217352322064
2022-07-07,1.0362539438902558
2022-07-08,1.0332159808855816
2022-07-11,1.0216543261786308
2022-07-12,1.0163321960341094
2022-07-13,1.020949195706176
2022-07-14,1.0270779288434175
2022-07-15,1.0227385613001851
2022-07-18,1.0353469468852001
2022-07-19,1.031425808481493
2022-07-20,1.0439647901760347
2022-07-21,1.0416723296249801
2022-07-22,1.0455864825775578
2022-07-25,1.0397640978782117
2022-07-26,1.0467811264279374
2022-07-27,1.0521668454662603
2022-07-28,1.0581811060037836
2022-07-29,1.0642058890345714
2022-08-01,1.0704192278883424
2022-08-02,1.0702862019701842
2022-08-03,1.0676603416498518
2022-08-04,1.0704503588292127
2022-08-05,1.0715952554659023
2022-08-08,1.070359500748741
2022-08-09,1.071086442428797
2022-08-10,1.0695994881388966
2022-08-11,1.0779045732419434
2022-08-12,1.0787059990652625
2022-08-15,1.0829508000180375
2022-08-16,1.085650800717584
2022-08-17,1.0874598420403594
2022-08-18,1.081505887657064
2022-08-19,1.080794468373394
2022-08-22,1.0696911828499436
2022-08-23,1.0634639575853175
2022-08-24,1.0659427862946533
2022-08-25,1.0761627456598972
2022-08-26,1.0737341388071426
2022-08-29,1.0552833084409592
2022-08-30,1.0593038435270883
2022-08-31,1.059811124950398
2022-09-01,1.0470458338569046
2022-09-02,1.051525558190168
2022-09-05,1.06095939627319
2022-09-06,1.0617504677577065
2022-09-07,1.0568073064133592
2022-09-08,1.0573498737666138
2022-09-09,1.0647376945022484
2022-09-13,1.083743083374367
2022-09-14,1.07799538990506
2022-09-15,1.0719722710236046
2022-09-16,1.062516688829097
2022-09-19,1.06542936433426
2022-09-20,1.070741140139979
2022-09-21,1.0726173463310045
2022-09-22,1.0693992178311655
2022-09-23,1.0660671916044984
2022-09-26,1.053692721301546
2022-09-27,1.0571500350277245
2022-09-28,1.0531273744029257
2022-09-29,1.059235398862562
2022-09-30,1.0511869713113238
2022-10-10,1.0522700351500727
2022-10-11,1.0515441960000127
2022-10-12,1.0576004487656363
2022-10-13,1.0574699840967237
2022-10-14,1.0648184583449083
2022-10-17,1.0550926279076536
2022-10-18,1.0536098865911252
2022-10-19,1.050538789702283
2022-10-20,1.0522037673817364
2022-10-21,1.0519749364941995
2022-10-24,1.0599519191077
2022-10-25,1.0644922966726273
2022-10-26,1.0687127251685553
2022-10-27,1.0689208473784868
2022-10-28,1.0599272550726726
2022-10-31,1.069719688758841
2022-11-01,1.0751277971910436
2022-11-02,1.0760701596473665
2022-11-03,1.0716548832038515
2022-11-04,1.0713035671150573
2022-11-07,1.0774133153650176
2022-11-08,1.0826228872199783
2022-11-09,1.0846192410167337
2022-11-10,1.076846511403841
2022-11-11,1.0918215385081331
2022-11-14,1.084864458266686
2022-11-15,1.0811327545622391
2022-11-16,1.0848271826469964
2022-11-17,1.0800662576655746
2022-11-18,1.0686609534745426
2022-11-21,1.064127823946777
2022-11-22,1.0592291862592806
2022-11-23,1.0643204146485048
2022-11-24,1.0668209874693257
2022-11-25,1.0667021486520207
2022-11-28,1.0637330502838547
2022-11-29,1.0704590423919065
2022-11-30,1.0710379431200192
2022-12-01,1.0835787455214962
2022-12-02,1.0808071760463198
2022-12-05,1.0852189129626582
2022-12-06,1.0788419258549802
2022-12-07,1.0749246028180348
2022-12-08,1.0773538019389688
2022-12-09,1.0820056253232964
2022-12-12,1.0701799349768797
2022-12-13,1.069317418554626
2022-12-14,1.067811897692732
2022-12-15,1.065056608137368
2022-12-16,1.0647149149568829
2022-12-19,1.0598566591907166
2022-12-20,1.0573581572376562
2022-12-21,1.0604768840849907
2022-12-22,1.0691786704146713
2022-12-23,1.067583066805195
2022-12-26,1.072162790857572
2022-12-27,1.0784923981675838
2022-12-28,1.0761564593337236
2022-12-29,1.077091456127596
2022-12-30,1.080003096198879
2023-01-03,1.080003096198879
2023-01-04,1.080003096198879
2023-01-05,1.080003096198879
2023-01-06,1.0770644077741218
2023-01-09,1.0849819104723557
2023-01-10,1.0815939407595798
2023-01-11,1.0895967637024135
2023-01-12,1.0919382104149729
2023-01-13,1.0985802294565958
2023-01-16,1.1030914023894187
2023-01-17,1.1005847152031412
2023-01-18,1.1043301659407585
2023-01-19,1.1073325745481917
2023-01-20,1.1185905268229686
2023-01-30,1.1225519781798263
2023-01-31,1.107593935297472
2023-02-01,1.123707581492759
2023-02-02,1.1357668960649157
2023-02-03,1.1353459458501176
2023-02-06,1.1260122422198586
2023-02-07,1.1191644691963714
2023-02-08,1.1185820574386884
2023-02-09,1.132530377778327
2023-02-10,1.1244501894616992
2023-02-13,1.120370868186927
2023-02-14,1.1261101234404687
2023-02-15,1.129349084046059
2023-02-16,1.136828583388606
2023-02-17,1.120640964541251
2023-02-20,1.1307388384022659
2023-02-21,1.1265795913903596
2023-02-22,1.1163855255415773
2023-02-23,1.1153171342066674
2023-02-24,1.1198369778363477
2023-02-27,1.108770822879423
2023-02-28,1.1088584693426922
2023-03-01,1.108928503331468
2023-03-02,1.1040753845703404
2023-03-03,1.1083164573688287
2023-03-06,1.1161864399308303
2023-03-07,1.1176628041633339
2023-03-08,1.108897499034584
2023-03-09,1.1101233025487698
2023-03-10,1.107458934910447
2023-03-13,1.1231222198146193
2023-03-14,1.1171681627452748
2023-03-15,1.1171768027700444
2023-03-16,1.1096416211678648
2023-03-17,1.1233841672215814
2023-03-20,1.139264664724468
2023-03-21,1.1351063484592299
2023-03-22,1.1314948584976563
2023-03-23,1.139793734265227
2023-03-24,1.1510103397014695
2023-03-27,1.1535156548518133
2023-03-28,1.1493019717958475
2023-03-29,1.1514630579913412
2023-03-30,1.1556220548745308
2023-03-31,1.1674893245921252
2023-04-03,1.1732447876681318
2023-04-04,1.1784527636945794
2023-04-06,1.1735501008714166
2023-04-07,1.1745814597641604
2023-04-10,1.166190644845015
2023-04-11,1.1690367915844695
2023-04-12,1.1666851508306857
2023-04-13,1.1619489309566886
2023-04-14,1.1674520269011985
2023-04-17,1.1735475643761453
2023-04-18,1.171265517833877
2023-04-19,1.1682976693255225
2023-04-20,1.1714545183757117
2023-04-21,1.1621351716586115
2023-04-24,1.1648805395291493
2023-04-25,1.1704349954529
2023-04-26,1.1665210642322752
2023-04-27,1.163821056491778
2023-04-28,1.1694997127715914
2023-05-04,1.1712212377069326
2023-05-05,1.1710680962919005
2023-05-08,1.1790055965434643
2023-05-09,1.179581238193738
2023-05-10,1.1808059617048279
2023-05-11,1.1844880158286974
2023-05-12,1.1816225930859814
2023-05-15,1.1847630163690805
2023-05-16,1.1833517909033195
2023-05-17,1.1826245459784226
2023-05-18,1.1909800628323741
2023-05-19,1.1937673596631155
2023-05-22,1.1969515623837235
2023-05-23,1.2030059482846949
2023-05-24,1.1964755135429666
2023-05-25,1.198798377290251
2023-05-26,1.1956916800198392
2023-05-29,1.2186400448091887
2023-05-30,1.2166172935102793
2023-05-31,1.2029629580054486
2023-06-01,1.2072328674266068
2023-06-02,1.2192157125955376
2023-06-05,1.2254899841028863
2023-06-06,1.2254991764412395
2023-06-07,1.2324132635988392
2023-06-08,1.2254720579954952
2023-06-09,1.2362821344982828
2023-06-12,1.2443665801871162
2023-06-13,1.261937471536096
