start_date,end_date,trading_days,final_net_value,annual_return,max_drawdown,annual_volatility,sharpe,calmar,method,training_period,holding_period,eligible_count,codes,maximum_within_group_correlation
2022-01-04,2022-06-30,117,1.0324860000000005,0.0681942191300593,0.08258476204695198,0.10072527354329944,0.33738668546199047,0.8257482063251425,rolling_mean_inclusion,2021-07-01/2021-12-31,2022-01-01/2022-06-30,49,159920.SZ|159949.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512100.SH|512880.SH|513100.SH|513180.SH|513500.SH,0.9194433972050108
2022-07-01,2022-12-30,125,1.0430440000000003,0.09449822533697527,0.03716367871353099,0.09181529633489754,0.5984371129622182,2.5427575688993684,rolling_mean_inclusion,2022-01-01/2022-06-30,2022-07-01/2022-12-31,53,159870.SZ|159980.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|513070.SH|513080.SH|513180.SH|513500.SH|515790.SH|518880.SH|562500.SH,0.9123874319228055
2023-01-03,2023-06-30,118,1.1442182380000003,0.31842598864097793,0.02881102683100778,0.09865934157389858,2.5632913960318042,11.052226305876504,rolling_mean_inclusion,2022-07-01/2022-12-31,2023-01-01/2023-06-30,55,159852.SZ|159967.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|513030.SH|513100.SH|513120.SH|513180.SH|515790.SH|518880.SH,0.7981631693542394
2023-07-03,2023-12-29,124,0.9747099692000001,-0.05092462534622599,0.08857971397618569,0.08939577640909863,-0.9851059923876772,-0.5749016683426735,rolling_mean_inclusion,2023-01-01/2023-06-30,2023-07-01/2023-12-31,58,159687.SZ|159869.SZ|159901.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|513070.SH|513100.SH|513120.SH|513880.SH|515880.SH|518880.SH,0.6995802811180952
2024-01-02,2024-06-28,117,1.0712009999999998,0.1515769508960283,0.04444750594696867,0.09925646191874382,1.140468354843059,3.4102464844006817,rolling_mean_inclusion,2023-07-01/2023-12-31,2024-01-01/2024-06-30,61,159509.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510500.SH|512880.SH|513030.SH|513070.SH|513120.SH|513290.SH|588200.SH,0.7137578993351071
2024-07-01,2024-12-31,125,1.0542364265000002,0.11117148468750004,0.09277749187989215,0.11608874435279697,0.6309653422632546,1.1982592160544756,rolling_mean_inclusion,2024-01-01/2024-06-30,2024-07-01/2024-12-31,66,159509.SZ|159529.SZ|159852.SZ|159901.SZ|159920.SZ|159985.SZ|161226.SZ|501018.SH|512800.SH|513100.SH|513500.SH|513750.SH|518880.SH,0.8926225266665948
2025-01-02,2025-06-30,117,1.0910990000000005,0.19470404232946925,0.07325448747348873,0.14460115871869486,1.0961717763915457,2.6579128329842443,rolling_mean_inclusion,2024-07-01/2024-12-31,2025-01-01/2025-06-30,68,159529.SZ|159851.SZ|159915.SZ|159981.SZ|159985.SZ|501018.SH|512880.SH|513100.SH|513180.SH|513400.SH|513730.SH|513750.SH|518880.SH,0.8861226651551434
2025-07-01,2025-12-31,126,1.1589319999999996,0.342303588690793,0.05766400000000005,0.12015226731377593,2.183740081971426,5.936174887118353,rolling_mean_inclusion,2025-01-01/2025-06-30,2025-07-01/2025-12-31,71,159206.SZ|159529.SZ|159869.SZ|159980.SZ|159981.SZ|161226.SZ|164824.SZ|512890.SH|513030.SH|513070.SH|513310.SH|513750.SH|518880.SH,0.8346945255088569
2026-01-05,2026-06-30,116,1.0529585519999995,0.11303497130724849,0.06474804086877028,0.11882882078749338,0.6670461000087908,1.745766663988258,rolling_mean_inclusion,2025-07-01/2025-12-31,2026-01-01/2026-06-30,71,159206.SZ|159509.SZ|159529.SZ|159920.SZ|159980.SZ|159985.SZ|161226.SZ|512660.SH|513030.SH|513070.SH|513290.SH|515880.SH|518880.SH,0.8781907596410816
2026-07-01,2026-07-24,18,0.9809698848000001,-0.2629597389287769,0.04384999865473682,0.1394048922634627,-2.242347179539182,-5.996801527846139,rolling_mean_inclusion,2026-01-01/2026-06-30,2026-07-01/2026-07-26,72,159920.SZ|159967.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|513100.SH|513310.SH|513400.SH|513750.SH|515880.SH|588220.SH,0.9063198775498007
