method,training_year,holding_year,code,eligible,mean_included_sharpe,included_count,excluded_count,excluded_mean_sharpe,rank,group,selected
rolling_mean_inclusion,2021,2022,512100.SH,True,0.9358591909955402,6,94,0.2604159411738978,1,a_share,True
rolling_mean_inclusion,2021,2022,512660.SH,True,0.5692213798893597,8,92,0.2776139410565735,2,a_share,True
rolling_mean_inclusion,2021,2022,512040.SH,True,0.5394432001610134,11,89,0.2714649260061628,3,a_share,True
rolling_mean_inclusion,2021,2022,510210.SH,True,0.5392757880673256,18,82,0.248625480867168,4,a_share,False
rolling_mean_inclusion,2021,2022,159949.SZ,True,0.5105495353275976,3,97,0.2944598454673901,5,a_share,False
rolling_mean_inclusion,2021,2022,510880.SH,True,0.499982475331187,8,92,0.2836347153659798,6,a_share,False
rolling_mean_inclusion,2021,2022,588000.SH,True,0.48407018615993924,15,85,0.2686258920461241,7,a_share,False
rolling_mean_inclusion,2021,2022,501018.SH,True,0.4830367578787148,67,33,-0.06876391398649276,8,commodity,True
rolling_mean_inclusion,2021,2022,515880.SH,True,0.47295002454859736,10,90,0.2818305930092629,9,a_share,False
rolling_mean_inclusion,2021,2022,159851.SZ,True,0.44123395631487605,5,95,0.2935587772078448,10,a_share,False
rolling_mean_inclusion,2021,2022,159981.SZ,True,0.40067032693430227,70,30,0.06824435769728246,11,commodity,True
rolling_mean_inclusion,2021,2022,510050.SH,True,0.3889357945083817,6,94,0.29532594520499306,12,a_share,False
rolling_mean_inclusion,2021,2022,512400.SH,True,0.3702478214820113,12,88,0.2914918154379034,13,a_share,False
rolling_mean_inclusion,2021,2022,513500.SH,True,0.36886868256590744,64,36,0.1801849425583767,14,global,True
rolling_mean_inclusion,2021,2022,159869.SZ,True,0.36130665738141976,11,89,0.29348180208004515,15,a_share,False
rolling_mean_inclusion,2021,2022,510500.SH,True,0.3572865015278323,11,89,0.2939786752754323,16,a_share,False
rolling_mean_inclusion,2021,2022,513100.SH,True,0.3539851238905596,47,53,0.25390476968798753,17,global,True
rolling_mean_inclusion,2021,2022,512890.SH,True,0.34053220168697645,6,94,0.29841553623614653,18,a_share,False
rolling_mean_inclusion,2021,2022,513080.SH,True,0.32820516462903904,52,48,0.2714080219918668,19,global,True
rolling_mean_inclusion,2021,2022,164824.SZ,True,0.32764080957049513,63,37,0.25548331387509304,20,global,True
rolling_mean_inclusion,2021,2022,512170.SH,True,0.3269261136167437,10,90,0.2980554720016911,21,a_share,False
rolling_mean_inclusion,2021,2022,159985.SZ,True,0.3133251465731892,69,31,0.2733812420248252,22,commodity,True
rolling_mean_inclusion,2021,2022,159920.SZ,True,0.3009425361631964,100,0,,23,hong_kong,True
rolling_mean_inclusion,2021,2022,513180.SH,True,0.3009425361631964,100,0,,24,hong_kong,True
rolling_mean_inclusion,2021,2022,510180.SH,True,0.29768074275894363,8,92,0.3012261703722618,25,a_share,False
rolling_mean_inclusion,2021,2022,512800.SH,True,0.2899943687982462,6,94,0.30164135535670383,26,a_share,False
rolling_mean_inclusion,2021,2022,513030.SH,True,0.27785885083009326,63,37,0.34024718956820976,27,global,False
rolling_mean_inclusion,2021,2022,159980.SZ,True,0.2665453368082381,58,42,0.3484434305105196,28,commodity,True
rolling_mean_inclusion,2021,2022,159967.SZ,True,0.25411509180388026,13,87,0.3079397404927493,29,a_share,False
rolling_mean_inclusion,2021,2022,160644.SZ,True,0.24853590258630434,57,43,0.37041179462558815,30,global,False
rolling_mean_inclusion,2021,2022,515220.SH,True,0.24307363792878448,7,93,0.3052982596862166,31,a_share,False
rolling_mean_inclusion,2021,2022,161226.SZ,True,0.2410707033637175,75,25,0.480558034561633,32,commodity,False
rolling_mean_inclusion,2021,2022,512200.SH,True,0.2403111388541375,16,84,0.31249137374587427,33,a_share,False
