method,description,old_full_period_final_net_value,start_date,end_date,trading_days,final_net_value,annual_return,max_drawdown,annual_volatility,sharpe,calmar
rolling_tabu_search,使用短期禁忌表的邻域搜索,1.781282702532374,2022-01-04,2026-07-24,1103,1.4691999694860205,0.08822284718447948,0.13850206451689184,0.10852269896852407,0.4900947660353655,0.6369785713462758
rolling_evolution_strategy,父代加子代精英保留的进化策略,1.668972533135415,2022-01-04,2026-07-24,1103,1.4681630190400534,0.08805401127063717,0.10499567276730715,0.11469651139156967,0.468544833972275,0.8386441931353084
rolling_multi_start_hill,多起点局部爬山搜索,1.7782190430118523,2022-01-04,2026-07-24,1103,1.43597800122815,0.0827667930278777,0.1260799134677567,0.10774246233655804,0.4446118299921278,0.6564629587015399
rolling_ant_colony,按高分组合强化代码信息素,1.626088201498007,2022-01-04,2026-07-24,1103,1.3895509898422183,0.07497463326211018,0.12255801749699946,0.1119818901141348,0.3654660245625147,0.6117480911760486
rolling_shapley,按入选与未入选组合 Sharpe 均值差估计相对贡献,1.6455463590408679,2022-01-04,2026-07-24,1103,1.3560516492885493,0.06922507333464667,0.14502352486977876,0.10923102605552014,0.32120766108227367,0.477336855498486
rolling_mean_inclusion,按代码所在组合的平均 Sharpe 排名,1.6373031325191627,2022-01-04,2026-07-24,1103,1.3492586222438816,0.06804568463577221,0.14502352486977887,0.10926265169312056,0.3107173329791733,0.46920445973763597
rolling_simulated_annealing,按降温概率接受短期退步,1.6921946038282774,2022-01-04,2026-07-24,1103,1.3339434833498816,0.06536961300247346,0.1298464309164047,0.11654355910786555,0.27627223773414666,0.5034378884434529
rolling_thompson_sampling,按代码表现后验进行 Thompson 抽样,1.6447790990091313,2022-01-04,2026-07-24,1103,1.31929184130266,0.06278694494303139,0.12311097414575889,0.11330295039090547,0.2586214920405334,0.5100028277632986
rolling_sequential_forward,逐步锁定高贡献代码,1.496558203744096,2022-01-04,2026-07-24,1103,1.3067910117096375,0.0605656514830184,0.13464783267116587,0.1096243618835985,0.24389737715394566,0.44980784526202194
rolling_ridge_surrogate,用岭回归代理模型估计代码边际影响,1.5849155258910843,2022-01-04,2026-07-24,1103,1.2879187699433832,0.05718059282617971,0.12177090882309127,0.11235890582965385,0.2112571986508876,0.4695751504101169
rolling_ucb_sampling,用 UCB 平衡代码探索与利用,1.4079516664316436,2022-01-04,2026-07-24,1103,1.28494325380633,0.056643356835998304,0.14444204680811334,0.10913866979239002,0.2093630504399655,0.39215282590980727
rolling_elite_frequency,按高分组合中的超额出现频率排名,1.6214969709078184,2022-01-04,2026-07-24,1103,1.2847629174433253,0.05661076552338695,0.11119677007880469,0.11276900481637864,0.2059488153976316,0.5091044054900797
rolling_beam_search,同时保留多个高分搜索分支,1.5578988481799865,2022-01-04,2026-07-24,1103,1.2560874748874686,0.05138237444934357,0.22087221305094007,0.11363832654875973,0.16019190302715536,0.23263394584403055
rolling_sequential_backward,逐步淘汰低贡献代码,1.4187332367081371,2022-01-04,2026-07-24,1103,1.2215268748711852,0.0449557046497886,0.12005787486159591,0.11137329695060304,0.10423411335541838,0.3744502782646623
rolling_differential_evolution,定长二进制差分进化,1.5382039251666593,2022-01-04,2026-07-24,1103,1.2044364533495777,0.04172511578298921,0.15185963736915276,0.11155521948990983,0.07565697984864164,0.2747610655855868
rolling_hill_climb,单起点、只接受改进的单代码替换,1.4836447478865624,2022-01-04,2026-07-24,1103,1.1939917612475435,0.03973311494030929,0.1254645721498866,0.11673257331117655,0.06054852127575421,0.3166879244034086
rolling_random_best,随机组合中选择训练期 Sharpe 最高者,1.2709239314934788,2022-01-04,2026-07-24,1103,1.1941827029359586,0.03976965291740253,0.1559033256045954,0.11279501506692513,0.05877541867502191,0.2550917548626704
rolling_cross_entropy,用精英样本逐批更新代码抽样概率,1.3648277697475988,2022-01-04,2026-07-24,1103,1.1554272538149333,0.03225826178192226,0.18218751091345875,0.10945604732603431,-0.01114122414318924,0.17706077447452104
rolling_particle_swarm,定长二进制粒子群搜索,1.2614788764248852,2022-01-04,2026-07-24,1103,1.1018587938626736,0.02154530472415961,0.15411753315865173,0.11270872008607788,-0.1030635895476039,0.1397978820617407
rolling_genetic,锦标赛选择、集合交叉和变异,1.502620269330865,2022-01-04,2026-07-24,1103,1.0490876913992482,0.010586789065218039,0.19824113105597652,0.1121071042020068,-0.20368084988777352,0.05340359494936846
