method,description,half_year_rank,one_year_rank,rank_change,half_year_final_net_value,one_year_final_net_value,final_net_value_change,half_year_annual_return,one_year_annual_return,annual_return_change,half_year_max_drawdown,one_year_max_drawdown,max_drawdown_change,half_year_annual_volatility,one_year_annual_volatility,annual_volatility_change,half_year_sharpe,one_year_sharpe,sharpe_change,half_year_calmar,one_year_calmar,calmar_change,final_net_value_change_pct
rolling_elite_frequency,按高分组合中的超额出现频率排名,1,19,18,1.7678764152591846,1.2551833217079915,0.5126930935511931,0.1333922416450466,0.0512160120790232,0.08217622956602338,0.0910435973335975,0.1093098761056827,-0.018266278772085198,0.1080054365919998,0.1092700369600088,-0.001264600368008989,0.8809114999957639,0.1607723747618787,0.7201391252338852,1.465146869760398,0.4685396590286745,0.9966072107317234,0.4084607281536736
rolling_mean_inclusion,按代码所在组合的平均 Sharpe 排名,2,12,10,1.776672275949431,1.5057265566614648,0.27094571928796607,0.1346290877506997,0.0941116257438887,0.040517462006811,0.0927774918798921,0.0970909999807979,-0.004313508100905805,0.110276069588183,0.1093747487328075,0.0009013208553755037,0.8751467385883096,0.5382569917697688,0.3368897468185408,1.45109643538314,0.9693135899568608,0.48178284542627914,0.17994350839418938
rolling_shapley,按入选与未入选组合 Sharpe 均值差估计相对贡献,3,14,11,1.7604661196334874,1.4866636469479653,0.27380247268552216,0.1323464973139299,0.0910524044867258,0.04129409282720409,0.0927774918798922,0.0970909999807979,-0.004313508100905694,0.1104589876546446,0.1070225654680088,0.0034364221866357986,0.8550464642979981,0.5205991084707179,0.33444735582728025,1.426493588393862,0.9378047862802276,0.4886888021136345,0.18417244092005802
rolling_ucb_sampling,用 UCB 平衡代码探索与利用,4,6,2,1.7641421871786012,1.6492934133293282,0.11484877384927294,0.1328656940453476,0.1162296962420326,0.016635997803314997,0.1204154795892757,0.1057853361978883,0.014630143391387407,0.1129809180571609,0.1101187258946364,0.0028621921625245073,0.8428558304472622,0.7230663318398869,0.11978949860737531,1.1033938036748947,1.098731642962371,0.0046621607125236775,0.069635137642025
rolling_genetic,锦标赛选择、集合交叉和变异,5,16,11,1.7394595951777492,1.38140748596448,0.35805210921326913,0.1293632620781588,0.0735869812186174,0.055776280859541394,0.1334475826670419,0.0969280690747571,0.03651951359228481,0.1125154039498148,0.1083721819064321,0.004143222043382702,0.8174575426574692,0.3617926442458397,0.4556648984116295,0.9693938210999772,0.759191655431229,0.21020216566874816,0.25919369400498216
rolling_differential_evolution,定长二进制差分进化,6,1,-5,1.7259257057197532,1.7916111001825026,-0.06568539446274935,0.1274263292723394,0.1367188334818021,-0.009292504209462704,0.1052769600850004,0.096016760398926,0.009260199686074402,0.1105615192899667,0.1076033119076552,0.0029582073823115063,0.8137840458083786,0.9118329752854792,-0.09804892947710064,1.2103914205867614,1.4239059192766863,-0.2135144986899249,-0.03666275256726104
rolling_hill_climb,单起点、只接受改进的单代码替换,7,18,11,1.6593210762543094,1.3397328540008837,0.31958822225342565,0.1177176109525066,0.0663840158669963,0.0513335950855103,0.1006457235557064,0.1117230636202567,-0.0110773400645503,0.1093748864780436,0.1176770328515752,-0.008302146373531605,0.7396737561867751,0.2831947744984481,0.456478981688327,1.169623574590838,0.5941836333152626,0.5754399412755755,0.2385462305406858
rolling_tabu_search,使用短期禁忌表的邻域搜索,8,10,2,1.5939624122359757,1.5291133137396988,0.06484909849627685,0.1078902747860783,0.0978237323066473,0.010066542479430993,0.1146884377659817,0.096609537410559,0.0180789003554227,0.1064811956388133,0.1095748855441269,-0.0030936899053135986,0.6712452083575648,0.5694273349345397,0.10181787342302517,0.9407249491550772,1.0125680644854802,-0.071843115330403,0.042409609486479205
rolling_particle_swarm,定长二进制粒子群搜索,9,20,11,1.6110037869262914,1.2218217434569325,0.3891820434693589,0.1104824829716213,0.0450111331023763,0.06547134986924501,0.1662340681798938,0.1221819171857956,0.044052150994098205,0.11249681601753,0.1103291400232158,0.002167675994314208,0.6626231342910947,0.1048958387684656,0.557727295522629,0.6646199794139689,0.3683943920599175,0.2962255873540514,0.3185260415878963
rolling_ant_colony,按高分组合强化代码信息素,10,15,5,1.6058845123723864,1.4804974924837904,0.12538701988859602,0.1097060339817954,0.0900563078765899,0.019649726105205503,0.1452997695320146,0.1121650574430541,0.03313471208896049,0.1137918049680896,0.1093996868800662,0.004392118088023408,0.6501899990396175,0.5030381622292908,0.14715183681032673,0.7550324018760635,0.8028909352835771,-0.04785853340751367,0.08469249054805061
