method,training_period,holding_period,restart_count,accepted_moves,training_sharpe,codes
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,5,29,1.3946055922045535,159851.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512660.SH|513180.SH|513500.SH|513880.SH|516150.SH
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,5,30,1.749856211115264,159928.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510180.SH|513070.SH|513180.SH|513500.SH|513880.SH|562500.SH
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,5,25,1.48261759925287,159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|510180.SH|512100.SH|512200.SH|513030.SH|513100.SH|513120.SH|513180.SH|518880.SH
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,5,23,3.208373585497626,159687.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|510300.SH|512040.SH|512100.SH|513100.SH|513120.SH|518880.SH
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,5,28,2.3830968567318207,159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512170.SH|513030.SH|513120.SH|513290.SH|513880.SH|563300.SH|588200.SH
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,5,26,3.0338773578094194,159518.SZ|159865.SZ|159928.SZ|159980.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|512880.SH|513100.SH|513120.SH|513500.SH|513750.SH
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,5,35,1.7406911501308369,159852.SZ|159967.SZ|159980.SZ|159981.SZ|164824.SZ|501018.SH|513120.SH|513180.SH|513400.SH|513500.SH|513730.SH|515880.SH|518880.SH
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,5,20,2.1343124561817723,159326.SZ|159611.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|513100.SH|513120.SH|513310.SH|513400.SH|513750.SH|515880.SH|518880.SH
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,5,24,3.541743460338198,159529.SZ|159949.SZ|159985.SZ|161226.SZ|501018.SH|510210.SH|512170.SH|513030.SH|513070.SH|513120.SH|513500.SH|513730.SH|518880.SH
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,5,33,3.707014120684582,159201.SZ|159509.SZ|159796.SZ|159920.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|513070.SH|513100.SH|513310.SH|515880.SH|518880.SH
