method,training_period,holding_period,rank,code,group
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,1,159851.SZ,a_share
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,2,159920.SZ,hong_kong
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,3,159980.SZ,commodity
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,4,159985.SZ,commodity
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,5,160644.SZ,global
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,6,161226.SZ,commodity
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,7,164824.SZ,global
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,8,501018.SH,commodity
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,9,512660.SH,a_share
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,10,513180.SH,hong_kong
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,11,513500.SH,global
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,12,513880.SH,global
rolling_multi_start_hill,2021-07-01/2021-12-31,2022-01-01/2022-06-30,13,516150.SH,a_share
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,1,159928.SZ,a_share
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,2,159980.SZ,commodity
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,3,159981.SZ,commodity
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,4,159985.SZ,commodity
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,5,160644.SZ,global
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,6,164824.SZ,global
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,7,501018.SH,commodity
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,8,510180.SH,a_share
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,9,513070.SH,hong_kong
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,10,513180.SH,hong_kong
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,11,513500.SH,global
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,12,513880.SH,global
rolling_multi_start_hill,2022-01-01/2022-06-30,2022-07-01/2022-12-31,13,562500.SH,a_share
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,1,159980.SZ,commodity
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,2,159985.SZ,commodity
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,3,160644.SZ,global
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,4,161226.SZ,commodity
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,5,164824.SZ,global
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,6,510180.SH,a_share
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,7,512100.SH,a_share
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,8,512200.SH,a_share
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,9,513030.SH,global
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,10,513100.SH,global
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,11,513120.SH,hong_kong
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,12,513180.SH,hong_kong
rolling_multi_start_hill,2022-07-01/2022-12-31,2023-01-01/2023-06-30,13,518880.SH,commodity
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,1,159687.SZ,global
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,2,159920.SZ,hong_kong
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,3,159980.SZ,commodity
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,4,159981.SZ,commodity
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,5,160644.SZ,global
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,6,161226.SZ,commodity
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,7,164824.SZ,global
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,8,510300.SH,a_share
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,9,512040.SH,a_share
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,10,512100.SH,a_share
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,11,513100.SH,global
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,12,513120.SH,hong_kong
rolling_multi_start_hill,2023-01-01/2023-06-30,2023-07-01/2023-12-31,13,518880.SH,commodity
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,1,159920.SZ,hong_kong
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,2,159980.SZ,commodity
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,3,159981.SZ,commodity
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,4,159985.SZ,commodity
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,5,164824.SZ,global
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,6,501018.SH,commodity
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,7,512170.SH,a_share
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,8,513030.SH,global
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,9,513120.SH,hong_kong
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,10,513290.SH,global
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,11,513880.SH,global
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,12,563300.SH,a_share
rolling_multi_start_hill,2023-07-01/2023-12-31,2024-01-01/2024-06-30,13,588200.SH,a_share
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,1,159518.SZ,global
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,2,159865.SZ,a_share
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,3,159928.SZ,a_share
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,4,159980.SZ,commodity
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,5,159985.SZ,commodity
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,6,161226.SZ,commodity
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,7,164824.SZ,global
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,8,501018.SH,commodity
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,9,512880.SH,a_share
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,10,513100.SH,global
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,11,513120.SH,hong_kong
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,12,513500.SH,global
rolling_multi_start_hill,2024-01-01/2024-06-30,2024-07-01/2024-12-31,13,513750.SH,hong_kong
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,1,159852.SZ,a_share
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,2,159967.SZ,a_share
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,3,159980.SZ,commodity
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,4,159981.SZ,commodity
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,5,164824.SZ,global
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,6,501018.SH,commodity
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,7,513120.SH,hong_kong
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,8,513180.SH,hong_kong
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,9,513400.SH,global
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,10,513500.SH,global
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,11,513730.SH,global
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,12,515880.SH,a_share
rolling_multi_start_hill,2024-07-01/2024-12-31,2025-01-01/2025-06-30,13,518880.SH,commodity
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,1,159326.SZ,a_share
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,2,159611.SZ,a_share
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,3,159981.SZ,commodity
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,4,159985.SZ,commodity
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,5,164824.SZ,global
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,6,501018.SH,commodity
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,7,513100.SH,global
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,8,513120.SH,hong_kong
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,9,513310.SH,global
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,10,513400.SH,global
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,11,513750.SH,hong_kong
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,12,515880.SH,a_share
rolling_multi_start_hill,2025-01-01/2025-06-30,2025-07-01/2025-12-31,13,518880.SH,commodity
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,1,159529.SZ,global
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,2,159949.SZ,a_share
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,3,159985.SZ,commodity
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,4,161226.SZ,commodity
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,5,501018.SH,commodity
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,6,510210.SH,a_share
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,7,512170.SH,a_share
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,8,513030.SH,global
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,9,513070.SH,hong_kong
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,10,513120.SH,hong_kong
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,11,513500.SH,global
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,12,513730.SH,global
rolling_multi_start_hill,2025-07-01/2025-12-31,2026-01-01/2026-06-30,13,518880.SH,commodity
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,1,159201.SZ,a_share
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,2,159509.SZ,global
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,3,159796.SZ,a_share
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,4,159920.SZ,hong_kong
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,5,159985.SZ,commodity
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,6,160644.SZ,global
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,7,161226.SZ,commodity
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,8,501018.SH,commodity
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,9,513070.SH,hong_kong
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,10,513100.SH,global
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,11,513310.SH,global
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,12,515880.SH,a_share
rolling_multi_start_hill,2026-01-01/2026-06-30,2026-07-01/2026-07-26,13,518880.SH,commodity
