method,training_year,holding_year,rank,code,group
rolling_multi_start_hill,2021,2022,1,159851.SZ,a_share
rolling_multi_start_hill,2021,2022,2,159865.SZ,a_share
rolling_multi_start_hill,2021,2022,3,159869.SZ,a_share
rolling_multi_start_hill,2021,2022,4,159920.SZ,hong_kong
rolling_multi_start_hill,2021,2022,5,159980.SZ,commodity
rolling_multi_start_hill,2021,2022,6,159981.SZ,commodity
rolling_multi_start_hill,2021,2022,7,159985.SZ,commodity
rolling_multi_start_hill,2021,2022,8,160644.SZ,global
rolling_multi_start_hill,2021,2022,9,164824.SZ,global
rolling_multi_start_hill,2021,2022,10,501018.SH,commodity
rolling_multi_start_hill,2021,2022,11,513030.SH,global
rolling_multi_start_hill,2021,2022,12,513100.SH,global
rolling_multi_start_hill,2021,2022,13,513180.SH,hong_kong
rolling_multi_start_hill,2022,2023,1,159852.SZ,a_share
rolling_multi_start_hill,2022,2023,2,159920.SZ,hong_kong
rolling_multi_start_hill,2022,2023,3,159985.SZ,commodity
rolling_multi_start_hill,2022,2023,4,160644.SZ,global
rolling_multi_start_hill,2022,2023,5,161226.SZ,commodity
rolling_multi_start_hill,2022,2023,6,164824.SZ,global
rolling_multi_start_hill,2022,2023,7,501018.SH,commodity
rolling_multi_start_hill,2022,2023,8,513070.SH,hong_kong
rolling_multi_start_hill,2022,2023,9,513080.SH,global
rolling_multi_start_hill,2022,2023,10,513500.SH,global
rolling_multi_start_hill,2022,2023,11,518880.SH,commodity
rolling_multi_start_hill,2022,2023,12,562500.SH,a_share
rolling_multi_start_hill,2022,2023,13,588000.SH,a_share
rolling_multi_start_hill,2023,2024,1,159687.SZ,global
rolling_multi_start_hill,2023,2024,2,159865.SZ,a_share
rolling_multi_start_hill,2023,2024,3,159920.SZ,hong_kong
rolling_multi_start_hill,2023,2024,4,159981.SZ,commodity
rolling_multi_start_hill,2023,2024,5,159985.SZ,commodity
rolling_multi_start_hill,2023,2024,6,164824.SZ,global
rolling_multi_start_hill,2023,2024,7,501018.SH,commodity
rolling_multi_start_hill,2023,2024,8,512040.SH,a_share
rolling_multi_start_hill,2023,2024,9,513080.SH,global
rolling_multi_start_hill,2023,2024,10,513100.SH,global
rolling_multi_start_hill,2023,2024,11,513120.SH,hong_kong
rolling_multi_start_hill,2023,2024,12,515880.SH,a_share
rolling_multi_start_hill,2023,2024,13,518880.SH,commodity
rolling_multi_start_hill,2024,2025,1,159518.SZ,global
rolling_multi_start_hill,2024,2025,2,159529.SZ,global
rolling_multi_start_hill,2024,2025,3,159870.SZ,a_share
rolling_multi_start_hill,2024,2025,4,159901.SZ,a_share
rolling_multi_start_hill,2024,2025,5,159981.SZ,commodity
rolling_multi_start_hill,2024,2025,6,161226.SZ,commodity
rolling_multi_start_hill,2024,2025,7,501018.SH,commodity
rolling_multi_start_hill,2024,2025,8,510180.SH,a_share
rolling_multi_start_hill,2024,2025,9,513070.SH,hong_kong
rolling_multi_start_hill,2024,2025,10,513100.SH,global
rolling_multi_start_hill,2024,2025,11,513120.SH,hong_kong
rolling_multi_start_hill,2024,2025,12,513730.SH,global
rolling_multi_start_hill,2024,2025,13,518880.SH,commodity
rolling_multi_start_hill,2025,2026,1,159326.SZ,a_share
rolling_multi_start_hill,2025,2026,2,159985.SZ,commodity
rolling_multi_start_hill,2025,2026,3,161226.SZ,commodity
rolling_multi_start_hill,2025,2026,4,164824.SZ,global
rolling_multi_start_hill,2025,2026,5,501018.SH,commodity
rolling_multi_start_hill,2025,2026,6,510210.SH,a_share
rolling_multi_start_hill,2025,2026,7,513030.SH,global
rolling_multi_start_hill,2025,2026,8,513120.SH,hong_kong
rolling_multi_start_hill,2025,2026,9,513290.SH,global
rolling_multi_start_hill,2025,2026,10,513750.SH,hong_kong
rolling_multi_start_hill,2025,2026,11,513880.SH,global
rolling_multi_start_hill,2025,2026,12,515880.SH,a_share
rolling_multi_start_hill,2025,2026,13,518880.SH,commodity
