method,training_period,holding_period,swarm_size,generations,training_sharpe,codes
rolling_particle_swarm,2021-07-01/2021-12-31,2022-01-01/2022-06-30,20,4,1.4112410852291837,159920.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|512880.SH|512890.SH|513030.SH|513100.SH|513180.SH|513500.SH|515880.SH
rolling_particle_swarm,2022-01-01/2022-06-30,2022-07-01/2022-12-31,20,4,1.8046325376180194,159796.SZ|159980.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510050.SH|513070.SH|513180.SH|513500.SH|513880.SH|518880.SH|562500.SH
rolling_particle_swarm,2022-07-01/2022-12-31,2023-01-01/2023-06-30,20,4,1.3789740783663946,159852.SZ|159915.SZ|159920.SZ|159928.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|513080.SH|513100.SH|513120.SH|518880.SH
rolling_particle_swarm,2023-01-01/2023-06-30,2023-07-01/2023-12-31,20,4,4.1013834476356354,159687.SZ|159766.SZ|159870.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|513070.SH|513080.SH|513100.SH|513120.SH|515880.SH|518880.SH
rolling_particle_swarm,2023-07-01/2023-12-31,2024-01-01/2024-06-30,20,4,1.7706342358502911,159915.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|513030.SH|513120.SH|513180.SH|513290.SH|513880.SH|588000.SH|588200.SH
rolling_particle_swarm,2024-01-01/2024-06-30,2024-07-01/2024-12-31,20,4,3.8166796518260373,159509.SZ|159869.SZ|159981.SZ|161226.SZ|164824.SZ|501018.SH|512800.SH|513030.SH|513100.SH|513120.SH|513750.SH|518880.SH|588220.SH
rolling_particle_swarm,2024-07-01/2024-12-31,2025-01-01/2025-06-30,20,4,1.5133472029124089,159981.SZ|159985.SZ|164824.SZ|501018.SH|512880.SH|513070.SH|513290.SH|513400.SH|513730.SH|513750.SH|515790.SH|518880.SH|588000.SH
rolling_particle_swarm,2025-01-01/2025-06-30,2025-07-01/2025-12-31,20,4,1.875612722507956,159611.SZ|159869.SZ|159967.SZ|159980.SZ|159981.SZ|501018.SH|513100.SH|513120.SH|513290.SH|513310.SH|513750.SH|513880.SH|518880.SH
rolling_particle_swarm,2025-07-01/2025-12-31,2026-01-01/2026-06-30,20,4,4.119032885632703,159209.SZ|159329.SZ|159509.SZ|159796.SZ|159920.SZ|159949.SZ|159980.SZ|159985.SZ|161226.SZ|501018.SH|513070.SH|513100.SH|513290.SH
rolling_particle_swarm,2026-01-01/2026-06-30,2026-07-01/2026-07-26,20,4,2.7652052786909542,159329.SZ|159901.SZ|159920.SZ|159981.SZ|159985.SZ|501018.SH|513070.SH|513100.SH|513310.SH|513500.SH|518880.SH|588200.SH|588220.SH
