method,training_period,holding_period,best_evaluation,training_sharpe,codes
rolling_random_best,2021-07-01/2021-12-31,2022-01-01/2022-06-30,23,1.0437226655148206,159920.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512040.SH|512100.SH|512200.SH|513180.SH|513500.SH|513880.SH
rolling_random_best,2022-01-01/2022-06-30,2022-07-01/2022-12-31,7,1.0600756762293801,159928.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510050.SH|512200.SH|513070.SH|513100.SH|513180.SH|513880.SH|518880.SH
rolling_random_best,2022-07-01/2022-12-31,2023-01-01/2023-06-30,42,1.461987723661921,159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|510210.SH|512170.SH|513030.SH|513100.SH|513120.SH|513180.SH|516150.SH|518880.SH
rolling_random_best,2023-01-01/2023-06-30,2023-07-01/2023-12-31,5,3.3075040811251006,159869.SZ|159901.SZ|159920.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510500.SH|513030.SH|513070.SH|513880.SH|518880.SH
rolling_random_best,2023-07-01/2023-12-31,2024-01-01/2024-06-30,18,1.2481708235112086,159851.SZ|159865.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|513030.SH|513070.SH|513100.SH|513120.SH|513880.SH|588200.SH
rolling_random_best,2024-01-01/2024-06-30,2024-07-01/2024-12-31,28,3.6819618453744845,159852.SZ|159915.SZ|159920.SZ|159980.SZ|159985.SZ|161226.SZ|501018.SH|512800.SH|513080.SH|513100.SH|513290.SH|513750.SH|513880.SH
rolling_random_best,2024-07-01/2024-12-31,2025-01-01/2025-06-30,64,1.497385225120979,159329.SZ|159949.SZ|159981.SZ|159985.SZ|161226.SZ|501018.SH|512170.SH|512880.SH|513100.SH|513180.SH|513290.SH|513400.SH|513750.SH
rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,3,1.6396991784814763,159329.SZ|159611.SZ|159980.SZ|161226.SZ|501018.SH|512660.SH|513030.SH|513120.SH|513180.SH|513310.SH|513880.SH|518880.SH|563300.SH
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,5,3.8163057227377193,159201.SZ|159509.SZ|159920.SZ|159980.SZ|159981.SZ|161226.SZ|512040.SH|512170.SH|513030.SH|513070.SH|513290.SH|513310.SH|518880.SH
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,8,2.6727934038512187,159518.SZ|159869.SZ|159967.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|512040.SH|513180.SH|513400.SH|513500.SH|513750.SH
