start_date,end_date,trading_days,final_net_value,annual_return,max_drawdown,annual_volatility,sharpe,calmar,method,training_period,holding_period,eligible_count,codes,maximum_within_group_correlation
2022-01-04,2022-06-30,117,0.9797856220000006,-0.04126452753832777,0.08752689022232418,0.10295165080641686,-0.7644546873578056,-0.47144971600742464,rolling_random_best,2021-07-01/2021-12-31,2022-01-01/2022-06-30,49,159920.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512040.SH|512100.SH|512200.SH|513180.SH|513500.SH|513880.SH,0.9194433972050108
2022-07-01,2022-12-30,125,1.0445800000000003,0.09993083994675889,0.05584377406033458,0.08785157653012315,0.6780024226601142,1.7894714608434572,rolling_random_best,2022-01-01/2022-06-30,2022-07-01/2022-12-31,53,159928.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510050.SH|512200.SH|513070.SH|513100.SH|513180.SH|513880.SH|518880.SH,0.9123874319228055
2023-01-03,2023-06-30,118,1.122624639,0.26787817832091054,0.02246249108598075,0.09341542385193345,2.265547262705962,11.92557750142406,rolling_random_best,2022-07-01/2022-12-31,2023-01-01/2023-06-30,55,159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|510210.SH|512170.SH|513030.SH|513100.SH|513120.SH|513180.SH|516150.SH|518880.SH,0.7805308310639488
2023-07-03,2023-12-29,124,0.9308439999999999,-0.13603820284899748,0.11713585211162236,0.08172858141383917,-2.230248846094714,-1.1613711805277387,rolling_random_best,2023-01-01/2023-06-30,2023-07-01/2023-12-31,58,159869.SZ|159901.SZ|159920.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510500.SH|513030.SH|513070.SH|513880.SH|518880.SH,0.9035245733924316
2024-01-02,2024-06-28,117,1.0576378775000006,0.12185743331533994,0.04832453413146898,0.09762101893929352,0.8764057136143024,2.5216473475734196,rolling_random_best,2023-07-01/2023-12-31,2024-01-01/2024-06-30,61,159851.SZ|159865.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|513030.SH|513070.SH|513100.SH|513120.SH|513880.SH|588200.SH,0.7824059319979025
2024-07-01,2024-12-31,125,1.0606446939,0.12469303226179251,0.10763519437833935,0.12701081534558442,0.6830518088111415,1.158478255945677,rolling_random_best,2024-01-01/2024-06-30,2024-07-01/2024-12-31,66,159852.SZ|159915.SZ|159920.SZ|159980.SZ|159985.SZ|161226.SZ|501018.SH|512800.SH|513080.SH|513100.SH|513290.SH|513750.SH|513880.SH,0.8926225266665948
2025-01-02,2025-06-30,117,0.9306870000000002,-0.1363355114376018,0.12384210886266389,0.19094213490246478,-0.9217845538529862,-1.1008817008178746,rolling_random_best,2024-07-01/2024-12-31,2025-01-01/2025-06-30,68,159329.SZ|159949.SZ|159981.SZ|159985.SZ|161226.SZ|501018.SH|512170.SH|512880.SH|513100.SH|513180.SH|513290.SH|513400.SH|513750.SH,0.8871085462632768
2025-07-01,2025-12-31,126,1.1576389999999999,0.3393162792824367,0.04950066900131078,0.11882208030440962,2.1879816393835747,6.854781685343516,rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,71,159329.SZ|159611.SZ|159980.SZ|161226.SZ|501018.SH|512660.SH|513030.SH|513120.SH|513180.SH|513310.SH|513880.SH|518880.SH|563300.SH,0.7553937537494826
2026-01-05,2026-06-30,116,0.9991820000000005,-0.0016968010068604267,0.08585789247358977,0.10767616780445519,-0.3340542253635068,-0.019762900741855147,rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,71,159201.SZ|159509.SZ|159920.SZ|159980.SZ|159981.SZ|161226.SZ|512040.SH|512170.SH|513030.SH|513070.SH|513290.SH|513310.SH|518880.SH,0.8781907596410816
2026-07-01,2026-07-24,18,1.038217,0.81408389400736,0.01808616767722271,0.11824428648947313,4.390122760902196,45.01140919049413,rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,72,159518.SZ|159869.SZ|159967.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|512040.SH|513180.SH|513400.SH|513500.SH|513750.SH,0.7798084311997701
