method,training_period,holding_period,code,eligible,ridge_coefficient,rank,group,selected
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159981.SZ,True,0.4974654740054153,1,commodity,True
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512890.SH,True,0.4684679202205716,2,a_share,True
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512100.SH,True,0.41302431690608865,3,a_share,True
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512880.SH,True,0.3505051693952554,4,a_share,True
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515880.SH,True,0.32736632984323727,5,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159869.SZ,True,0.32213265170530403,6,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515210.SH,True,0.2652919545068778,7,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515220.SH,True,0.2473778739743482,8,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,164824.SZ,True,0.23603342961785476,9,global,True
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513100.SH,True,0.2295445328850221,10,global,True
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512040.SH,True,0.21083675999693358,11,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588000.SH,True,0.17628326080982912,12,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159980.SZ,True,0.1290239966508881,13,commodity,True
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159967.SZ,True,0.11021801063459434,14,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,501018.SH,True,0.10066747296570508,15,commodity,True
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513500.SH,True,0.09936663039596896,16,global,True
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510210.SH,True,0.0674853704248761,17,a_share,False
