method,training_period,holding_period,code,eligible,retained_contribution,eliminated,elimination_order,rank,group,selected
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159851.SZ,True,0.7521702984235353,False,,1,a_share,True
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,501018.SH,True,0.6377423377792916,False,,2,commodity,True
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512660.SH,True,0.5807452650500711,False,,3,a_share,True
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159981.SZ,True,0.5688517191251787,False,,4,commodity,True
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510300.SH,True,0.4810008686086759,False,,5,a_share,True
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513100.SH,True,0.4009370342032399,False,,6,global,True
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512100.SH,True,0.35795747855396076,False,,7,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159928.SZ,True,0.3411247297846906,False,,8,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512880.SH,True,0.32768213878137564,False,,9,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510210.SH,True,0.25760501415670534,False,,10,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512040.SH,True,0.23842721526945787,False,,11,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515220.SH,True,0.21190850102843858,False,,12,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513500.SH,True,0.1956425566252108,False,,13,global,True
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515210.SH,True,0.19090570856520409,False,,14,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159869.SZ,True,0.1688763249036156,False,,15,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588000.SH,True,0.16222095287989202,False,,16,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512980.SH,True,0.12184212355868172,False,,17,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510050.SH,True,0.11838170980193731,False,,18,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,516150.SH,True,0.11335369797617896,False,,19,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159949.SZ,True,0.11287907053070118,False,,20,a_share,False
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,160644.SZ,True,0.10928491927200257,False,,21,global,True
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,164824.SZ,True,0.0987306832002395,False,,22,global,True
rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159766.SZ,True,0.04366687531473936,False,,23,a_share,False
