start_date,end_date,trading_days,final_net_value,annual_return,max_drawdown,annual_volatility,sharpe,calmar,method,training_period,holding_period,eligible_count,codes,maximum_within_group_correlation
2022-01-04,2022-06-30,117,1.0310666216000002,0.06516622729437671,0.07407768078448818,0.09974569203931218,0.3099631774793187,0.8797012353013957,rolling_sequential_backward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,49,159851.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510300.SH|512660.SH|513100.SH|513180.SH|513500.SH,0.9194433972050108
2022-07-01,2022-12-30,125,0.9893835112000001,-0.016816250133135036,0.07183922264357423,0.08879824620151594,-0.5979592683357479,-0.23408173855900138,rolling_sequential_backward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,53,159796.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|501018.SH|513070.SH|513080.SH|513500.SH|513880.SH|515790.SH|562500.SH,0.902954449056628
2023-01-03,2023-06-30,118,1.0743389924000002,0.15850967391365445,0.05043785287757352,0.0913317855422334,1.2857644490516218,3.1426729107283933,rolling_sequential_backward,2022-07-01/2022-12-31,2023-01-01/2023-06-30,55,159766.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|510180.SH|512400.SH|513080.SH|513100.SH|513120.SH|518880.SH,0.7655141320931955
2023-07-03,2023-12-29,124,0.9733421410000002,-0.053640238852835864,0.08390399331722409,0.0849718547828225,-1.0744925311827986,-0.6393049571554114,rolling_sequential_backward,2023-01-01/2023-06-30,2023-07-01/2023-12-31,58,159687.SZ|159980.SZ|159981.SZ|161226.SZ|512890.SH|513070.SH|513080.SH|513100.SH|513120.SH|513310.SH|515880.SH|518880.SH|588200.SH,0.6871488226207012
2024-01-02,2024-06-28,117,1.0712694399999994,0.15172792688861825,0.045949284383916544,0.09364044223831515,1.204499142393863,3.3020737737915025,rolling_sequential_backward,2023-07-01/2023-12-31,2024-01-01/2024-06-30,61,159851.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512100.SH|512170.SH|513120.SH|513310.SH|513880.SH,0.7619350411021133
2024-07-01,2024-12-31,125,0.9889623314,-0.021908571914173725,0.11866449329443873,0.11709746321760638,-0.4740641470856889,-0.18462617844592003,rolling_sequential_backward,2024-01-01/2024-06-30,2024-07-01/2024-12-31,66,159509.SZ|159518.SZ|159825.SZ|159920.SZ|159985.SZ|161226.SZ|501018.SH|512800.SH|513100.SH|513180.SH|513500.SH|518880.SH|562500.SH,0.9194110626548546
2025-01-02,2025-06-30,117,1.0979290000000002,0.210013410234424,0.07852712452319122,0.1429847609526253,1.2018430665905402,2.674405964940194,rolling_sequential_backward,2024-07-01/2024-12-31,2025-01-01/2025-06-30,68,159529.SZ|159851.SZ|159980.SZ|159981.SZ|501018.SH|510210.SH|512880.SH|513070.SH|513100.SH|513120.SH|513400.SH|513730.SH|518880.SH,0.8000844340389441
2025-07-01,2025-12-31,126,1.1618100000000002,0.34896475817599626,0.044328708306503484,0.11673817080555646,2.2865676781484825,7.87220678218588,rolling_sequential_backward,2025-01-01/2025-06-30,2025-07-01/2025-12-31,71,159329.SZ|159529.SZ|159865.SZ|159869.SZ|159980.SZ|159981.SZ|161226.SZ|512800.SH|513080.SH|513120.SH|513730.SH|513750.SH|518880.SH,0.6690906029707654
2026-01-05,2026-06-30,116,1.0455051444,0.09674705799882233,0.07955519515640097,0.11129689398088341,0.5657405157898809,1.2160998135775185,rolling_sequential_backward,2025-07-01/2025-12-31,2026-01-01/2026-06-30,71,159206.SZ|159329.SZ|159509.SZ|159980.SZ|159981.SZ|161226.SZ|512100.SH|513100.SH|513120.SH|513290.SH|513750.SH|515880.SH|518880.SH,0.8496577034190855
2026-07-01,2026-07-24,18,0.9897760000000001,-0.15057353765871195,0.036234722463247326,0.130661773102457,-1.3967985559633334,-4.155504097249202,rolling_sequential_backward,2026-01-01/2026-06-30,2026-07-01/2026-07-26,72,159509.SZ|159869.SZ|159967.SZ|159981.SZ|159985.SZ|161226.SZ|501018.SH|513070.SH|513100.SH|513180.SH|513310.SH|513880.SH|515880.SH,0.9063198775498007
