method,training_year,holding_year,code,eligible,retained_contribution,eliminated,elimination_order,rank,group,selected
rolling_sequential_backward,2021,2022,501018.SH,True,1.1105509432703926,False,,1,commodity,True
rolling_sequential_backward,2021,2022,159981.SZ,True,0.8310070947959267,False,,2,commodity,True
rolling_sequential_backward,2021,2022,159980.SZ,True,0.6611297840641513,False,,3,commodity,True
rolling_sequential_backward,2021,2022,159985.SZ,True,0.5249143458316579,False,,4,commodity,True
rolling_sequential_backward,2021,2022,512100.SH,True,0.41842086578334303,False,,5,a_share,True
rolling_sequential_backward,2021,2022,510880.SH,True,0.39800177057645636,False,,6,a_share,True
rolling_sequential_backward,2021,2022,159851.SZ,True,0.3699493578720574,False,,7,a_share,True
rolling_sequential_backward,2021,2022,512890.SH,True,0.3511515234078023,False,,8,a_share,False
rolling_sequential_backward,2021,2022,510300.SH,True,0.33343539071363293,False,,9,a_share,False
rolling_sequential_backward,2021,2022,588000.SH,True,0.32477173296622575,False,,10,a_share,False
rolling_sequential_backward,2021,2022,159865.SZ,True,0.30899582120890623,False,,11,a_share,False
rolling_sequential_backward,2021,2022,515790.SH,True,0.23712802761461715,False,,12,a_share,False
rolling_sequential_backward,2021,2022,513500.SH,True,0.23496667201427035,False,,13,global,True
rolling_sequential_backward,2021,2022,513100.SH,True,0.14422284826357012,False,,14,global,True
rolling_sequential_backward,2021,2022,510210.SH,True,0.123172828828649,False,,15,a_share,False
rolling_sequential_backward,2021,2022,512200.SH,True,0.11267358280297501,False,,16,a_share,False
rolling_sequential_backward,2021,2022,512880.SH,True,0.10078661698773383,False,,17,a_share,False
rolling_sequential_backward,2021,2022,160644.SZ,True,0.0999081666836038,False,,18,global,True
rolling_sequential_backward,2021,2022,516150.SH,True,0.09641112237086003,False,,19,a_share,False
rolling_sequential_backward,2021,2022,512170.SH,True,0.08704002938495281,False,,20,a_share,False
rolling_sequential_backward,2021,2022,513880.SH,True,0.06676699536578379,False,,21,global,True
rolling_sequential_backward,2021,2022,159967.SZ,True,0.044809280532771,False,,22,a_share,False
rolling_sequential_backward,2021,2022,512660.SH,True,0.02374107605105713,False,,23,a_share,False
rolling_sequential_backward,2021,2022,159869.SZ,True,0.021620851336143332,False,,24,a_share,False
rolling_sequential_backward,2021,2022,512980.SH,True,0.015439194628226294,False,,25,a_share,False
rolling_sequential_backward,2021,2022,513030.SH,True,-0.021448176427081744,False,,26,global,False
rolling_sequential_backward,2021,2022,510500.SH,True,-0.02568180966987943,False,,27,a_share,False
rolling_sequential_backward,2021,2022,512800.SH,True,-0.04040154671311502,False,,28,a_share,False
rolling_sequential_backward,2021,2022,510180.SH,True,-0.10515420628204541,False,,29,a_share,False
rolling_sequential_backward,2021,2022,510050.SH,True,-0.12484305791832329,False,,30,a_share,False
rolling_sequential_backward,2021,2022,159825.SZ,True,-inf,True,4.0,31,a_share,False
rolling_sequential_backward,2021,2022,159852.SZ,True,-inf,True,6.0,32,a_share,False
rolling_sequential_backward,2021,2022,159870.SZ,True,-inf,True,11.0,33,a_share,False
rolling_sequential_backward,2021,2022,159901.SZ,True,-inf,True,10.0,34,a_share,False
rolling_sequential_backward,2021,2022,159915.SZ,True,-inf,True,3.0,35,a_share,False
rolling_sequential_backward,2021,2022,159928.SZ,True,-inf,True,9.0,36,a_share,False
rolling_sequential_backward,2021,2022,159949.SZ,True,-inf,True,15.0,37,a_share,False
rolling_sequential_backward,2021,2022,161226.SZ,True,-inf,True,5.0,38,commodity,False
rolling_sequential_backward,2021,2022,164824.SZ,True,-inf,True,12.0,39,global,False
rolling_sequential_backward,2021,2022,512040.SH,True,-inf,True,1.0,40,a_share,False
rolling_sequential_backward,2021,2022,512400.SH,True,-inf,True,13.0,41,a_share,False
rolling_sequential_backward,2021,2022,513080.SH,True,-inf,True,16.0,42,global,False
rolling_sequential_backward,2021,2022,515210.SH,True,-inf,True,14.0,43,a_share,False
rolling_sequential_backward,2021,2022,515220.SH,True,-inf,True,8.0,44,a_share,False
rolling_sequential_backward,2021,2022,515880.SH,True,-inf,True,7.0,45,a_share,False
rolling_sequential_backward,2021,2022,518880.SH,True,-inf,True,2.0,46,commodity,False
rolling_sequential_backward,2021,2022,159920.SZ,True,,False,,47,hong_kong,True
