method,training_period,holding_period,code,eligible,estimated_contribution,locked,lock_order,rank,group,selected
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510210.SH,True,0.9804324070664687,True,1.0,1,a_share,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159981.SZ,True,0.9090108364896128,True,4.0,2,commodity,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,501018.SH,True,0.9022365293696828,True,5.0,3,commodity,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512890.SH,True,0.8856642510143977,True,2.0,4,a_share,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513100.SH,True,0.8768811824468239,True,6.0,5,global,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510300.SH,True,0.7274281035908796,True,3.0,6,a_share,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513500.SH,True,0.643115411135034,True,7.0,7,global,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512100.SH,True,0.30706206198956626,False,,8,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159980.SZ,True,0.23801391371350644,False,,9,commodity,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,164824.SZ,True,0.1773627180278154,False,,10,global,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515790.SH,True,0.16077512441394287,False,,11,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,160644.SZ,True,0.036227544476938475,False,,12,global,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159869.SZ,True,-0.03589761598065304,False,,13,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512660.SH,True,-0.038523986930272466,False,,14,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512880.SH,True,-0.05984537356465369,False,,15,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159915.SZ,True,-0.05993464388474758,False,,16,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510500.SH,True,-0.18807737621595585,False,,17,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159949.SZ,True,-0.2336686044176034,False,,18,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513080.SH,True,-0.28554505186845625,False,,19,global,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,518880.SH,True,-0.32293257127597563,False,,20,commodity,True
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159985.SZ,True,-0.3437880305525,False,,21,commodity,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,161226.SZ,True,-0.3868446477150834,False,,22,commodity,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515210.SH,True,-0.41453273271458574,False,,23,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513030.SH,True,-0.4551891167756412,False,,24,global,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513880.SH,True,-0.5795729596094612,False,,25,global,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588000.SH,True,-0.5826660599683288,False,,26,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510050.SH,True,-0.6544774060310298,False,,27,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,516150.SH,True,-0.6724098684767729,False,,28,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159870.SZ,True,-0.6866918197526192,False,,29,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512980.SH,True,-0.6947335040833809,False,,30,a_share,False
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512800.SH,True,-0.7339334415464552,False,,31,a_share,False
