tradeDate,netValue
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0046419999999998
2022-01-10,1.0031670000000001
2022-01-11,1.002375
2022-01-12,1.0106030000000001
2022-01-13,1.0116329999999998
2022-01-14,1.01634
2022-01-17,1.015305
2022-01-18,1.020769
2022-01-19,1.018745
2022-01-20,1.024138
2022-01-21,1.0204305679999999
2022-01-24,1.0207886976
2022-01-25,1.0081810576
2022-01-26,1.0171770431999998
2022-01-27,1.0166775328
2022-01-28,1.0194469088
2022-02-07,1.0411683968
2022-02-08,1.0404931984
2022-02-09,1.0350416256
2022-02-10,1.0412349920000001
2022-02-11,1.0326870000000001
2022-02-14,1.038998
2022-02-15,1.037065
2022-02-16,1.032966
2022-02-17,1.031906
2022-02-18,1.0340239999999998
2022-02-21,1.033808
2022-02-22,1.040908
2022-02-23,1.0402120000000001
2022-02-24,1.05474
2022-02-25,1.044664
2022-02-28,1.046745
2022-03-01,1.048073
2022-03-02,1.058761
2022-03-03,1.0692169999999999
2022-03-04,1.060346
2022-03-07,1.0667440000000001
2022-03-08,1.06417
2022-03-09,1.0759480000000001
2022-03-10,1.06969
2022-03-11,1.0557600000000003
2022-03-14,1.042368
2022-03-15,1.025171
2022-03-16,1.0421330000000002
2022-03-17,1.038537
2022-03-18,1.0438940000000003
2022-03-21,1.04421
2022-03-22,1.0486780000000002
2022-03-23,1.0478590000000003
2022-03-24,1.051176
2022-03-25,1.0474309346000001
2022-03-28,1.0439597636000002
2022-03-29,1.0456224476
2022-03-30,1.04425761
2022-03-31,1.0433122402000001
2022-04-01,1.0363728425000003
2022-04-06,1.0362436315
2022-04-07,1.0321093095000002
2022-04-08,1.0330204819000002
2022-04-11,1.0277510183
2022-04-12,1.0232596657000002
2022-04-13,1.0247450227000001
2022-04-14,1.0274893477000002
2022-04-15,1.0214666784000002
2022-04-18,1.0165315104000003
2022-04-19,1.0202861504000003
2022-04-20,1.0206405824000002
2022-04-21,1.0217282752000003
2022-04-22,1.0144630000000006
2022-04-25,0.9937980000000002
2022-04-26,1.0079880000000006
2022-04-27,1.0124270000000004
2022-04-28,1.0172560000000004
2022-04-29,1.0182820000000004
2022-05-05,1.0163010000000001
2022-05-06,1.0051400000000004
2022-05-09,0.9988290000000002
2022-05-10,0.9930940000000003
2022-05-11,0.9918000000000002
2022-05-12,0.9871050000000003
2022-05-13,0.9952600000000003
2022-05-16,0.9994670000000001
2022-05-17,1.0070000000000003
2022-05-18,1.0053580000000002
2022-05-19,1.0049900000000003
2022-05-20,1.0086130000000002
2022-05-23,1.008706
2022-05-24,1.0014240000000003
2022-05-25,1.0048390000000003
2022-05-26,1.0059390000000001
2022-05-27,1.0109450000000002
2022-05-30,1.0117160000000003
2022-05-31,1.0184010000000001
2022-06-01,1.0126190000000002
2022-06-02,1.0142927440000002
2022-06-06,1.0292766240000002
2022-06-07,1.0302344000000003
2022-06-08,1.0340353920000003
2022-06-09,1.0326139520000004
2022-06-10,1.0346580000000003
2022-06-13,1.0307170000000003
2022-06-14,1.0311560000000004
2022-06-15,1.0257480000000003
2022-06-16,1.0242660000000003
2022-06-17,1.0283700000000002
2022-06-20,1.0246660000000003
2022-06-21,1.0251510000000004
2022-06-22,1.0184800000000003
2022-06-23,1.0249680000000003
2022-06-24,1.0342646480000002
2022-06-27,1.0414191520000002
2022-06-28,1.0498487120000002
2022-06-29,1.034337816
2022-06-30,1.0411355440000003
2022-07-01,1.039193808
2022-07-04,1.0434285360000002
2022-07-05,1.0443294
2022-07-06,1.03806576
2022-07-07,1.0430016240000002
2022-07-08,1.0386256016000002
2022-07-11,1.028051172
2022-07-12,1.0241863296000002
2022-07-13,1.0263651324000003
2022-07-14,1.0309035424000002
2022-07-15,1.0270437804000003
2022-07-18,1.0366953564
2022-07-19,1.0314064956000002
2022-07-20,1.0441189744000001
2022-07-21,1.0435321244000002
2022-07-22,1.0456285171000002
2022-07-25,1.0369462102000002
2022-07-26,1.0385417137000001
2022-07-27,1.0427336737000001
2022-07-28,1.0485638032000002
2022-07-29,1.0553203224
2022-08-01,1.0584279226
2022-08-02,1.054984449
2022-08-03,1.055043449
2022-08-04,1.0606913657
2022-08-05,1.0619984618000002
2022-08-08,1.0624920304
2022-08-09,1.0605244302
2022-08-10,1.0575593544
2022-08-11,1.0702440826000001
2022-08-12,1.0691935632
2022-08-15,1.0710670320000002
2022-08-16,1.0765938664
2022-08-17,1.0793309240000002
2022-08-18,1.0740215816000003
2022-08-19,1.0708563704
2022-08-22,1.0614172936000001
2022-08-23,1.0573973644999999
2022-08-24,1.0499335070000002
2022-08-25,1.0573622962
2022-08-26,1.0559172912
2022-08-29,1.0378092096000002
2022-08-30,1.0417750352000004
2022-08-31,1.042270352
2022-09-01,1.0297606048
2022-09-02,1.0335923776
2022-09-05,1.0391033256
2022-09-06,1.0369793464000001
2022-09-07,1.0334182528
2022-09-08,1.0299121384
2022-09-09,1.038273
2022-09-13,1.0582820000000002
2022-09-14,1.0538960000000002
2022-09-15,1.048983
2022-09-16,1.040329
2022-09-19,1.039955
2022-09-20,1.043616
2022-09-21,1.04579
2022-09-22,1.0435130000000001
2022-09-23,1.035575
2022-09-26,1.024551
2022-09-27,1.029381
2022-09-28,1.0274230000000002
2022-09-29,1.0348810000000002
2022-09-30,1.0307011128
2022-10-10,1.0328431248
2022-10-11,1.0297371248000002
2022-10-12,1.0308333718
2022-10-13,1.027389026
2022-10-14,1.036397
2022-10-17,1.027553
2022-10-18,1.025755
2022-10-19,1.022014
2022-10-20,1.026407
2022-10-21,1.026813414
2022-10-24,1.025568712
2022-10-25,1.0275692377999999
2022-10-26,1.03490152
2022-10-27,1.035317467
2022-10-28,1.026118802
2022-10-31,1.0348282647999998
2022-11-01,1.0411395512
2022-11-02,1.0424493245999997
2022-11-03,1.0415406579999997
2022-11-04,1.0468828769999998
2022-11-07,1.0493230544
2022-11-08,1.0529107481999997
2022-11-09,1.0529124721999998
2022-11-10,1.0430894267999997
2022-11-11,1.0582949999999998
2022-11-14,1.0491559999999998
2022-11-15,1.0479349999999998
2022-11-16,1.049728
2022-11-17,1.0423409999999997
2022-11-18,1.0296085179999996
2022-11-21,1.0231294351999998
2022-11-22,1.0204952087999997
2022-11-23,1.0249647611999997
2022-11-24,1.0292042307999998
2022-11-25,1.0300667171999998
2022-11-28,1.0245702628
2022-11-29,1.0339401899999998
2022-11-30,1.034671958
2022-12-01,1.0440622372
2022-12-02,1.0420084723999998
2022-12-05,1.0483311856
2022-12-06,1.0434094107999998
2022-12-07,1.0393350484
2022-12-08,1.042427366
2022-12-09,1.048866864
2022-12-12,1.0393232576
2022-12-13,1.039236232
2022-12-14,1.037863904
2022-12-15,1.0353471840000001
2022-12-16,1.0354644232
2022-12-19,1.0303209224
2022-12-20,1.0278146080000001
2022-12-21,1.0312074832000002
2022-12-22,1.039183924
2022-12-23,1.0370619104
2022-12-26,1.0403721248000002
2022-12-27,1.0478232368
2022-12-28,1.0476814816000002
2022-12-29,1.0475526144
2022-12-30,1.0540627776
2023-01-03,1.0540627776
2023-01-04,1.0540627776
2023-01-05,1.0540627776
2023-01-06,1.048235711969123
2023-01-09,1.057521679123568
2023-01-10,1.05452438457707
2023-01-11,1.0595112896546808
2023-01-12,1.0601529904249303
2023-01-13,1.068167242643704
2023-01-16,1.0686869546205766
2023-01-17,1.0695947999177935
2023-01-18,1.0721194780123227
2023-01-19,1.0732176819876726
2023-01-20,1.0790084120718868
2023-01-30,1.0855218185586761
2023-01-31,1.07654672750951
2023-02-01,1.0889654906670148
2023-02-02,1.0908422171882104
2023-02-03,1.0848192301682975
2023-02-06,1.0824681234318865
2023-02-07,1.0816646228658064
2023-02-08,1.0768387189206596
2023-02-09,1.0857162119783093
2023-02-10,1.0827743059010233
2023-02-13,1.0824579462449564
2023-02-14,1.0898478619020535
2023-02-15,1.0888051054234313
2023-02-16,1.0863012446471347
2023-02-17,1.0760796222247735
2023-02-20,1.0889357086502647
2023-02-21,1.0879440854948277
2023-02-22,1.082734891015362
2023-02-23,1.0837327835253872
2023-02-24,1.085799282665812
2023-02-27,1.0757305989551353
2023-02-28,1.0841451183379183
2023-03-01,1.086519032673898
2023-03-02,1.0805472614048797
2023-03-03,1.0843738151765858
2023-03-06,1.0908352777659138
2023-03-07,1.0873065496428314
2023-03-08,1.0760757995607044
2023-03-09,1.0746167745072654
2023-03-10,1.0598569606884674
2023-03-13,1.065961038233549
2023-03-14,1.0569667205522884
2023-03-15,1.0611597822815808
2023-03-16,1.057185965610029
2023-03-17,1.0639372377005571
2023-03-20,1.069120064378016
2023-03-21,1.0682177866403906
2023-03-22,1.0632078262584577
2023-03-23,1.0674535911266305
2023-03-24,1.0751821126455285
2023-03-27,1.0777871891676067
2023-03-28,1.071831769890676
2023-03-29,1.0758581126185613
2023-03-30,1.0774863208613694
2023-03-31,1.0852683061308481
2023-04-03,1.082316930353568
2023-04-04,1.086253854827904
2023-04-06,1.0851238995303172
2023-04-07,1.0895126924957204
2023-04-10,1.0842864036477524
2023-04-11,1.08280532380638
2023-04-12,1.082131035209673
2023-04-13,1.074856320181665
2023-04-14,1.0735601149406069
2023-04-17,1.0777350231791183
2023-04-18,1.0748563672982714
2023-04-19,1.072339648010151
2023-04-20,1.0700462375079975
2023-04-21,1.065662627158459
2023-04-24,1.0726900417722125
2023-04-25,1.0837877965374385
2023-04-26,1.0784262075589
2023-04-27,1.0749103044284452
2023-04-28,1.0859946835586483
2023-05-04,1.0836938179866882
2023-05-05,1.0804236312249456
2023-05-08,1.0891815690039526
2023-05-09,1.0919165541254936
2023-05-10,1.0886668785821527
2023-05-11,1.09200504902005
2023-05-12,1.09414195639183
2023-05-15,1.096814005533046
2023-05-16,1.0967146419863776
2023-05-17,1.0969621376130585
2023-05-18,1.1060469039996401
2023-05-19,1.108493135790884
2023-05-22,1.1136068058311301
2023-05-23,1.11358952932058
2023-05-24,1.1083815940245085
2023-05-25,1.1075334934271508
2023-05-26,1.1059391163832526
2023-05-29,1.1173818583063353
2023-05-30,1.1227951132259806
2023-05-31,1.1140752549405017
2023-06-01,1.123027624296215
2023-06-02,1.130028670475524
2023-06-05,1.1420366177249601
2023-06-06,1.1410450566538206
2023-06-07,1.1408951537483418
2023-06-08,1.1326684197602332
2023-06-09,1.1416317311308286
2023-06-12,1.1475532163323223
2023-06-13,1.1569919892811356
2023-06-14,1.1603355523042025
2023-06-15,1.149627057019993
2023-06-16,1.1548044818365293
2023-06-19,1.1499958474451182
2023-06-20,1.1497398408939459
