method,training_period,holding_period,code,eligible,shapley_score,included_count,excluded_count,included_mean_sharpe,excluded_mean_sharpe,contribution,standard_error,rank,group,selected
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512880.SH,True,0.7552826534260574,7,93,0.20993518287933646,-0.545347470546721,0.7552826534260574,0.12285646901026324,1,a_share,True
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159949.SZ,True,0.6201901455013981,3,97,0.10910675632945925,-0.5110833891719389,0.6201901455013981,0.15634048624355001,2,a_share,True
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159981.SZ,True,0.6008946579582924,69,31,-0.3062003408398263,-0.9070949987981187,0.6008946579582924,0.14687960509279066,3,commodity,True
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512100.SH,True,0.5774757239828068,6,94,0.05034949573694144,-0.5271262282458653,0.5774757239828068,0.3230991759916239,4,a_share,True
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159869.SZ,True,0.5539946243387639,12,88,-0.004962415388784762,-0.5589570397275486,0.5539946243387639,0.1765035565320636,5,a_share,False
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515220.SH,True,0.4326298210083567,2,98,-0.06850046021870734,-0.501130281227064,0.4326298210083567,0.33911391919450184,6,a_share,False
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,164824.SZ,True,0.3830124220959975,66,34,-0.36225346129425784,-0.7452658833902553,0.3830124220959975,0.1384712562150552,7,global,True
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510300.SH,True,0.3667294326143544,5,95,-0.1440847238232602,-0.5108141564376146,0.3667294326143544,0.2744063781552013,8,a_share,False
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510880.SH,True,0.2777003445705294,9,91,-0.23977037124771514,-0.5174707158182446,0.2777003445705294,0.194447794366239,9,a_share,False
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515210.SH,True,0.2592121808497634,7,93,-0.25141035661661704,-0.5106225374663804,0.2592121808497634,0.13523490031217997,10,a_share,False
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588000.SH,True,0.2386546770105144,12,88,-0.28246156903764436,-0.5211162460481588,0.2386546770105144,0.22223395194898396,11,a_share,False
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513100.SH,True,0.23622619914820475,46,54,-0.3649155372668663,-0.6011417364150711,0.23622619914820475,0.13521953924625563,12,global,True
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159915.SZ,True,0.1856148167094105,5,95,-0.316143608932957,-0.5017584256423675,0.1856148167094105,0.2553311147914684,13,a_share,False
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510210.SH,True,0.1833835622586914,15,85,-0.3366016568870092,-0.5199852191457006,0.1833835622586914,0.19429323256927036,14,a_share,False
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,501018.SH,True,0.1788198257184065,69,31,-0.437043538834191,-0.6158633645525975,0.1788198257184065,0.14216291377941329,15,commodity,True
rolling_shapley,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515880.SH,True,0.1537907738317168,11,89,-0.355603896096669,-0.5093946699283858,0.1537907738317168,0.22666411973049977,16,a_share,False
