training_year,trial,codes,sharpe
2019,1,159915.SZ|159928.SZ|164824.SZ|501018.SH|510050.SH|510180.SH|510300.SH|510880.SH|512040.SH|512400.SH|512660.SH|512800.SH|512890.SH|512980.SH|518880.SH,1.2456746269878394
2019,2,159901.SZ|159928.SZ|159949.SZ|160644.SZ|161226.SZ|164824.SZ|510210.SH|510300.SH|510500.SH|510880.SH|512100.SH|512170.SH|512880.SH|512980.SH|518880.SH,1.4719012148134998
2019,3,159920.SZ|159928.SZ|160644.SZ|161226.SZ|510050.SH|510500.SH|510880.SH|512100.SH|512400.SH|512890.SH|512980.SH|513030.SH|513100.SH|513500.SH|518880.SH,1.5754573532947878
2019,4,159901.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512100.SH|512800.SH|512890.SH|512980.SH|513030.SH|513100.SH|513500.SH|518880.SH,1.037265988037006
2019,5,159920.SZ|159928.SZ|159949.SZ|161226.SZ|510050.SH|510210.SH|510300.SH|512170.SH|512200.SH|512400.SH|512800.SH|512880.SH|512890.SH|513100.SH|518880.SH,1.7062944380038247
2019,6,159915.SZ|159920.SZ|159928.SZ|159949.SZ|161226.SZ|510050.SH|510500.SH|510880.SH|512100.SH|512170.SH|512890.SH|513030.SH|513500.SH|513880.SH|518880.SH,1.838406448987413
2019,7,159901.SZ|159928.SZ|159949.SZ|160644.SZ|161226.SZ|510050.SH|510210.SH|512040.SH|512100.SH|512170.SH|512200.SH|512660.SH|513030.SH|513500.SH|518880.SH,1.2611039095629972
2019,8,159920.SZ|159928.SZ|164824.SZ|501018.SH|510180.SH|510210.SH|510300.SH|512040.SH|512100.SH|512400.SH|512660.SH|512800.SH|512880.SH|513100.SH|518880.SH,0.9922209708602583
2019,9,159920.SZ|159928.SZ|160644.SZ|161226.SZ|164824.SZ|510300.SH|510500.SH|510880.SH|512040.SH|512170.SH|512400.SH|512800.SH|512880.SH|512980.SH|513030.SH,1.1830717482580217
2019,10,159928.SZ|159949.SZ|161226.SZ|501018.SH|510050.SH|510210.SH|510880.SH|512040.SH|512100.SH|512170.SH|512400.SH|512880.SH|512980.SH|513030.SH|513880.SH,1.6275694745105236
2019,11,159901.SZ|159928.SZ|160644.SZ|164824.SZ|501018.SH|510210.SH|510500.SH|510880.SH|512040.SH|512170.SH|512400.SH|512660.SH|512880.SH|513500.SH|513880.SH,1.4646732948382977
