method,training_period,holding_period,accepted_worse_moves,training_sharpe,codes
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,8,1.6595923858444994,159865.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|513100.SH|513180.SH|513880.SH|516150.SH|588000.SH
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,14,1.7654242913417324,159611.SZ|159796.SZ|159980.SZ|159981.SZ|164824.SZ|501018.SH|513070.SH|513080.SH|513180.SH|513500.SH|513880.SH|518880.SH|562500.SH
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,18,1.6443818251942937,159928.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512170.SH|512400.SH|513070.SH|513100.SH|513120.SH|513290.SH
rolling_simulated_annealing,2023-01-01/2023-06-30,2023-07-01/2023-12-31,16,3.9986975439383694,159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|512040.SH|513100.SH|513120.SH|513180.SH|513880.SH|515790.SH|515880.SH|518880.SH
rolling_simulated_annealing,2023-07-01/2023-12-31,2024-01-01/2024-06-30,17,2.3167301146506056,159509.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512170.SH|512890.SH|513030.SH|513120.SH|513290.SH|588220.SH
rolling_simulated_annealing,2024-01-01/2024-06-30,2024-07-01/2024-12-31,14,3.7762562405434874,159509.SZ|159529.SZ|159825.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|512040.SH|512800.SH|513070.SH|513310.SH|513750.SH|518880.SH
rolling_simulated_annealing,2024-07-01/2024-12-31,2025-01-01/2025-06-30,16,2.5228253861938605,159529.SZ|159687.SZ|159851.SZ|159901.SZ|159980.SZ|159981.SZ|159985.SZ|501018.SH|512880.SH|513100.SH|513180.SH|513290.SH|513750.SH
rolling_simulated_annealing,2025-01-01/2025-06-30,2025-07-01/2025-12-31,13,2.2816240348000862,159201.SZ|159206.SZ|159529.SZ|159980.SZ|159981.SZ|164824.SZ|501018.SH|510880.SH|513180.SH|513310.SH|513730.SH|513750.SH|518880.SH
rolling_simulated_annealing,2025-07-01/2025-12-31,2026-01-01/2026-06-30,20,4.9738673431953,159206.SZ|159509.SZ|159529.SZ|159796.SZ|159980.SZ|159981.SZ|159985.SZ|161226.SZ|513070.SH|513100.SH|513120.SH|513290.SH|515880.SH
rolling_simulated_annealing,2026-01-01/2026-06-30,2026-07-01/2026-07-26,5,3.919626815217029,159329.SZ|159796.SZ|159980.SZ|159985.SZ|161226.SZ|501018.SH|513100.SH|513180.SH|513290.SH|513310.SH|513750.SH|588200.SH|588220.SH
