method,training_period,holding_period,evaluation,codes,sharpe,maximum_within_group_correlation,phase,temperature,removed,added
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,1,159901.SZ|159920.SZ|159980.SZ|159985.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|516150.SH|518880.SH,-1.3809150180987266,0.9194433972050108,initial,,,
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,2,159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|516150.SH,-0.19910924570860905,0.9194433972050108,annealing,0.4840044985514857,518880.SH,159981.SZ
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,3,159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH|516150.SH,0.51981942654732,0.9194433972050108,annealing,0.4685207092361502,513880.SH,164824.SZ
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,4,159766.SZ|159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.46960243360510884,0.9194433972050108,annealing,0.4535322618696586,516150.SH,159766.SZ
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,5,159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|512800.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.13596040298557982,0.9194433972050108,annealing,0.4390233099662904,159766.SZ,512800.SH
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,6,159766.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH|515790.SH,0.4293366215472356,0.9194433972050108,annealing,0.42497851398529574,159901.SZ,515790.SH
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,7,159766.SZ|159920.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|512200.SH|513030.SH|513080.SH|513180.SH|513500.SH|515790.SH,0.1129659942677346,0.9194433972050108,annealing,0.41138302511321717,159980.SZ,161226.SZ
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,8,159766.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|512980.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.8059250165719399,0.9194433972050108,annealing,0.3982224695650319,515790.SH,512980.SH
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,9,159901.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|512980.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.36616191269771164,0.9194433972050108,annealing,0.385482933387515,159766.SZ,159901.SZ
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,10,159766.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|512200.SH|512980.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.06519485144801597,0.9194433972050108,annealing,0.37315094774875995,501018.SH,161226.SZ
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,11,159766.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512200.SH|512660.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.7645224583999838,0.9194433972050108,annealing,0.3612134746983004,512980.SH,512660.SH
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,12,159766.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|512200.SH|512660.SH|513030.SH|513080.SH|513180.SH|513500.SH|518880.SH,0.06893030134837189,0.9194433972050108,annealing,0.34965789338278125,501018.SH,518880.SH
