method,training_period,holding_period,tabu_tenure,moves,training_sharpe,codes
rolling_tabu_search,2021-07-01/2021-12-31,2022-01-01/2022-06-30,10,20,1.77642835867559,159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512890.SH|513100.SH|513180.SH|513500.SH|516150.SH|588000.SH
rolling_tabu_search,2022-01-01/2022-06-30,2022-07-01/2022-12-31,10,20,1.8785005270066508,159796.SZ|159980.SZ|159985.SZ|160644.SZ|501018.SH|512660.SH|513030.SH|513070.SH|513180.SH|513500.SH|513880.SH|515790.SH|518880.SH
rolling_tabu_search,2022-07-01/2022-12-31,2023-01-01/2023-06-30,10,20,1.6226275488266615,159766.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|513030.SH|513100.SH|513120.SH|513180.SH|515210.SH|515790.SH|518880.SH
rolling_tabu_search,2023-01-01/2023-06-30,2023-07-01/2023-12-31,10,20,4.370223455486027,159865.SZ|159920.SZ|159980.SZ|159985.SZ|161226.SZ|164824.SZ|512100.SH|513030.SH|513070.SH|513080.SH|513880.SH|515880.SH|518880.SH
rolling_tabu_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,10,20,1.9264913202254803,159915.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|512100.SH|512880.SH|513120.SH|513180.SH|513290.SH|513880.SH
rolling_tabu_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,10,20,5.238122380462739,159509.SZ|159869.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|512200.SH|512800.SH|513100.SH|513120.SH|513750.SH|513880.SH
rolling_tabu_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,10,20,1.7251816843167256,159529.SZ|159980.SZ|159981.SZ|160644.SZ|501018.SH|512040.SH|512170.SH|513120.SH|513180.SH|513290.SH|513400.SH|518880.SH|588220.SH
rolling_tabu_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,10,20,2.078166851370358,159529.SZ|159687.SZ|159825.SZ|159851.SZ|159981.SZ|159985.SZ|161226.SZ|510300.SH|513120.SH|513290.SH|513500.SH|513750.SH|518880.SH
rolling_tabu_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,10,20,4.966315458143273,159206.SZ|159509.SZ|159518.SZ|159865.SZ|159981.SZ|161226.SZ|501018.SH|513120.SH|513290.SH|513310.SH|513750.SH|515880.SH|518880.SH
rolling_tabu_search,2026-01-01/2026-06-30,2026-07-01/2026-07-26,10,20,3.125782495738122,159209.SZ|159509.SZ|159981.SZ|159985.SZ|161226.SZ|501018.SH|510500.SH|513030.SH|513100.SH|513120.SH|513310.SH|513750.SH|588000.SH
