method,training_year,holding_year,rank,code,group
rolling_tabu_search,2021,2022,1,159865.SZ,a_share
rolling_tabu_search,2021,2022,2,159920.SZ,hong_kong
rolling_tabu_search,2021,2022,3,159980.SZ,commodity
rolling_tabu_search,2021,2022,4,159981.SZ,commodity
rolling_tabu_search,2021,2022,5,159985.SZ,commodity
rolling_tabu_search,2021,2022,6,160644.SZ,global
rolling_tabu_search,2021,2022,7,164824.SZ,global
rolling_tabu_search,2021,2022,8,501018.SH,commodity
rolling_tabu_search,2021,2022,9,512660.SH,a_share
rolling_tabu_search,2021,2022,10,513100.SH,global
rolling_tabu_search,2021,2022,11,513180.SH,hong_kong
rolling_tabu_search,2021,2022,12,513880.SH,global
rolling_tabu_search,2021,2022,13,515210.SH,a_share
rolling_tabu_search,2022,2023,1,159796.SZ,a_share
rolling_tabu_search,2022,2023,2,159852.SZ,a_share
rolling_tabu_search,2022,2023,3,159920.SZ,hong_kong
rolling_tabu_search,2022,2023,4,159980.SZ,commodity
rolling_tabu_search,2022,2023,5,159985.SZ,commodity
rolling_tabu_search,2022,2023,6,160644.SZ,global
rolling_tabu_search,2022,2023,7,164824.SZ,global
rolling_tabu_search,2022,2023,8,501018.SH,commodity
rolling_tabu_search,2022,2023,9,510300.SH,a_share
rolling_tabu_search,2022,2023,10,513070.SH,hong_kong
rolling_tabu_search,2022,2023,11,513080.SH,global
rolling_tabu_search,2022,2023,12,513100.SH,global
rolling_tabu_search,2022,2023,13,518880.SH,commodity
rolling_tabu_search,2023,2024,1,159920.SZ,hong_kong
rolling_tabu_search,2023,2024,2,159949.SZ,a_share
rolling_tabu_search,2023,2024,3,159980.SZ,commodity
rolling_tabu_search,2023,2024,4,159985.SZ,commodity
rolling_tabu_search,2023,2024,5,160644.SZ,global
rolling_tabu_search,2023,2024,6,164824.SZ,global
rolling_tabu_search,2023,2024,7,501018.SH,commodity
rolling_tabu_search,2023,2024,8,512200.SH,a_share
rolling_tabu_search,2023,2024,9,513100.SH,global
rolling_tabu_search,2023,2024,10,513120.SH,hong_kong
rolling_tabu_search,2023,2024,11,513880.SH,global
rolling_tabu_search,2023,2024,12,518880.SH,commodity
rolling_tabu_search,2023,2024,13,588200.SH,a_share
rolling_tabu_search,2024,2025,1,159509.SZ,global
rolling_tabu_search,2024,2025,2,159687.SZ,global
rolling_tabu_search,2024,2025,3,159985.SZ,commodity
rolling_tabu_search,2024,2025,4,161226.SZ,commodity
rolling_tabu_search,2024,2025,5,501018.SH,commodity
rolling_tabu_search,2024,2025,6,510180.SH,a_share
rolling_tabu_search,2024,2025,7,512040.SH,a_share
rolling_tabu_search,2024,2025,8,512880.SH,a_share
rolling_tabu_search,2024,2025,9,513070.SH,hong_kong
rolling_tabu_search,2024,2025,10,513100.SH,global
rolling_tabu_search,2024,2025,11,513400.SH,global
rolling_tabu_search,2024,2025,12,513750.SH,hong_kong
rolling_tabu_search,2024,2025,13,518880.SH,commodity
rolling_tabu_search,2025,2026,1,159981.SZ,commodity
rolling_tabu_search,2025,2026,2,159985.SZ,commodity
rolling_tabu_search,2025,2026,3,161226.SZ,commodity
rolling_tabu_search,2025,2026,4,164824.SZ,global
rolling_tabu_search,2025,2026,5,512040.SH,a_share
rolling_tabu_search,2025,2026,6,512800.SH,a_share
rolling_tabu_search,2025,2026,7,513030.SH,global
rolling_tabu_search,2025,2026,8,513120.SH,hong_kong
rolling_tabu_search,2025,2026,9,513290.SH,global
rolling_tabu_search,2025,2026,10,513750.SH,hong_kong
rolling_tabu_search,2025,2026,11,513880.SH,global
rolling_tabu_search,2025,2026,12,515880.SH,a_share
rolling_tabu_search,2025,2026,13,518880.SH,commodity
