start_date,end_date,trading_days,final_net_value,annual_return,max_drawdown,annual_volatility,sharpe,calmar,method,training_period,holding_period,eligible_count,codes,maximum_within_group_correlation
2022-01-04,2022-06-30,117,0.9883748920000001,-0.02384035242610505,0.07950567361908012,0.1040913482325359,-0.5742557110481489,-0.2998572471736625,rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,49,159851.SZ|159920.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510880.SH|512040.SH|513100.SH|513180.SH|513500.SH,0.9194433972050108
2022-07-01,2022-12-30,125,1.0383130000000005,0.08408481511727572,0.0371071474396889,0.0899093024718508,0.5023409534124691,2.2660005125411673,rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,53,159796.SZ|159980.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|513070.SH|513080.SH|513180.SH|513500.SH|515790.SH|518880.SH|562500.SH,0.9123874319228055
2023-01-03,2023-06-30,118,1.0973392400000004,0.20997524951025115,0.049792266297574495,0.09456685722099227,1.7239122599956431,4.217025356013561,rolling_thompson_sampling,2022-07-01/2022-12-31,2023-01-01/2023-06-30,55,159796.SZ|159865.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|512200.SH|513080.SH|513100.SH|513120.SH|513180.SH|513290.SH|518880.SH,0.7655141320931955
2023-07-03,2023-12-29,124,0.9568239396000001,-0.08612139003801866,0.0899972114029799,0.0857152146783845,-1.4701706178675846,-0.9569339837919367,rolling_thompson_sampling,2023-01-01/2023-06-30,2023-07-01/2023-12-31,58,159981.SZ|159985.SZ|161226.SZ|510880.SH|512980.SH|513080.SH|513100.SH|513120.SH|513180.SH|513500.SH|513880.SH|515880.SH|518880.SH,0.8866258135554016
2024-01-02,2024-06-28,117,1.0872709999999999,0.18730533431551,0.03760668392018851,0.094820656008165,1.5279574667681188,4.9806394712445865,rolling_thompson_sampling,2023-07-01/2023-12-31,2024-01-01/2024-06-30,61,159509.SZ|159851.SZ|159870.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512170.SH|513070.SH|513080.SH|513120.SH|513290.SH,0.5966129780050095
2024-07-01,2024-12-31,125,0.9979784265000003,-0.004030717580325582,0.11368428898592664,0.11706729507614168,-0.3179261834121499,-0.03545536165357518,rolling_thompson_sampling,2024-01-01/2024-06-30,2024-07-01/2024-12-31,66,159509.SZ|159825.SZ|159870.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|512800.SH|513070.SH|513100.SH|513500.SH|513750.SH|518880.SH,0.8284455626917091
2025-01-02,2025-06-30,117,0.9541689999999999,-0.09128807599574074,0.12572613081213935,0.13610805892380806,-0.9675291319117564,-0.7260867363535101,rolling_thompson_sampling,2024-07-01/2024-12-31,2025-01-01/2025-06-30,68,159509.SZ|159529.SZ|159851.SZ|159980.SZ|159981.SZ|159985.SZ|501018.SH|512880.SH|513120.SH|513180.SH|513400.SH|513730.SH|562500.SH,0.8000844340389441
2025-07-01,2025-12-31,126,1.1459799999999998,0.31252964845780795,0.06646500213422646,0.12032109683476598,1.9937423013153746,4.70216863646002,rolling_thompson_sampling,2025-01-01/2025-06-30,2025-07-01/2025-12-31,71,159326.SZ|159529.SZ|159980.SZ|159981.SZ|161226.SZ|164824.SZ|512040.SH|512980.SH|513120.SH|513500.SH|513730.SH|513750.SH|518880.SH,0.8489591242734664
2026-01-05,2026-06-30,116,1.0733791440000005,0.15829776358198888,0.06432548643802494,0.1213484592197155,1.0000411406397343,2.460887159158952,rolling_thompson_sampling,2025-07-01/2025-12-31,2026-01-01/2026-06-30,71,159206.SZ|159209.SZ|159329.SZ|159509.SZ|159980.SZ|159985.SZ|161226.SZ|513070.SH|513080.SH|513120.SH|513290.SH|515880.SH|518880.SH,0.5489078219078787
2026-07-01,2026-07-24,18,0.9858976335999999,-0.20191582782493167,0.03610716940162395,0.13616032121180074,-1.7585791308480745,-5.592125640728025,rolling_thompson_sampling,2026-01-01/2026-06-30,2026-07-01/2026-07-26,72,159509.SZ|159920.SZ|159967.SZ|159981.SZ|159985.SZ|160644.SZ|501018.SH|513100.SH|513310.SH|513750.SH|515880.SH|516150.SH|518880.SH,0.9063198775498007
