method,training_period,holding_period,code,eligible,posterior_mean_sharpe,observations,rank,group,selected
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512890.SH,True,0.5391017273469829,16.0,1,a_share,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515220.SH,True,0.5140158521560523,18.0,2,a_share,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512100.SH,True,0.41387435011853546,18.0,3,a_share,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512040.SH,True,0.3160013443246642,13.0,4,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510300.SH,True,0.2903359755281175,16.0,5,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512660.SH,True,0.2701776780679997,14.0,6,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159851.SZ,True,0.258881327776174,13.0,7,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588000.SH,True,0.2260776015666869,12.0,8,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513100.SH,True,0.19193139103792625,73.0,9,global,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510210.SH,True,0.18521191476189408,14.0,10,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159981.SZ,True,0.17807069263665645,75.0,11,commodity,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159869.SZ,True,0.16363334662090898,12.0,12,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,164824.SZ,True,0.15836604399118853,71.0,13,global,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513500.SH,True,0.1581020964598579,68.0,14,global,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512880.SH,True,0.13208992533136338,11.0,15,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,501018.SH,True,0.13142444949426324,87.0,16,commodity,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515210.SH,True,0.09107533603042109,9.0,17,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515790.SH,True,0.06726327337151122,6.0,18,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159980.SZ,True,0.06373314936883712,74.0,19,commodity,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510050.SH,True,0.049444010819194695,15.0,20,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159920.SZ,True,0.04274653041801017,100.0,21,hong_kong,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513180.SH,True,0.04274653041801017,100.0,22,hong_kong,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159915.SZ,True,0.04243064893620932,11.0,23,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159949.SZ,True,0.039427289678062014,13.0,24,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159985.SZ,True,0.017782106628867096,72.0,25,commodity,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,160644.SZ,True,-0.005726945852067835,50.0,26,global,True
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510880.SH,True,-0.013183837809513543,4.0,27,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513030.SH,True,-0.032054705158170764,53.0,28,global,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510500.SH,True,-0.08038322716061125,4.0,29,a_share,False
rolling_ucb_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,161226.SZ,True,-0.0805274264781243,66.0,30,commodity,False
