method,training_year,holding_year,code,eligible,posterior_mean_sharpe,observations,rank,group,selected
rolling_ucb_sampling,2021,2022,159851.SZ,True,0.8712952627728631,15.0,1,a_share,True
rolling_ucb_sampling,2021,2022,512100.SH,True,0.7993288335942014,17.0,2,a_share,True
rolling_ucb_sampling,2021,2022,512880.SH,True,0.7951763274664094,14.0,3,a_share,True
rolling_ucb_sampling,2021,2022,159967.SZ,True,0.7315158254997467,14.0,4,a_share,False
rolling_ucb_sampling,2021,2022,512040.SH,True,0.6988328755996401,6.0,5,a_share,False
rolling_ucb_sampling,2021,2022,501018.SH,True,0.6341596468168608,84.0,6,commodity,True
rolling_ucb_sampling,2021,2022,512660.SH,True,0.6327040961162391,11.0,7,a_share,False
rolling_ucb_sampling,2021,2022,159981.SZ,True,0.6145103031189152,75.0,8,commodity,True
rolling_ucb_sampling,2021,2022,513500.SH,True,0.6034856811479647,74.0,9,global,True
rolling_ucb_sampling,2021,2022,159980.SZ,True,0.5896081299751631,75.0,10,commodity,True
rolling_ucb_sampling,2021,2022,510880.SH,True,0.5747003848924795,12.0,11,a_share,False
rolling_ucb_sampling,2021,2022,159949.SZ,True,0.5745176692798105,12.0,12,a_share,False
rolling_ucb_sampling,2021,2022,159869.SZ,True,0.5693563428319777,10.0,13,a_share,False
rolling_ucb_sampling,2021,2022,515790.SH,True,0.5571790874965661,8.0,14,a_share,False
rolling_ucb_sampling,2021,2022,588000.SH,True,0.5477460308682649,9.0,15,a_share,False
rolling_ucb_sampling,2021,2022,513100.SH,True,0.5473885527820082,65.0,16,global,True
rolling_ucb_sampling,2021,2022,510210.SH,True,0.5447630396965665,12.0,17,a_share,False
rolling_ucb_sampling,2021,2022,513030.SH,True,0.5434985165421126,60.0,18,global,True
rolling_ucb_sampling,2021,2022,159825.SZ,True,0.5393904581955862,12.0,19,a_share,False
rolling_ucb_sampling,2021,2022,159865.SZ,True,0.5302074830487074,8.0,20,a_share,False
rolling_ucb_sampling,2021,2022,515880.SH,True,0.5301161502428742,5.0,21,a_share,False
rolling_ucb_sampling,2021,2022,512890.SH,True,0.519661261857243,10.0,22,a_share,False
rolling_ucb_sampling,2021,2022,164824.SZ,True,0.5136979860350285,54.0,23,global,True
rolling_ucb_sampling,2021,2022,159920.SZ,True,0.5124238314485258,100.0,24,hong_kong,True
rolling_ucb_sampling,2021,2022,513180.SH,True,0.5124238314485258,100.0,25,hong_kong,True
rolling_ucb_sampling,2021,2022,160644.SZ,True,0.4689091338674753,49.0,26,global,False
rolling_ucb_sampling,2021,2022,510500.SH,True,0.4675216278589532,9.0,27,a_share,False
rolling_ucb_sampling,2021,2022,159915.SZ,True,0.4654990170742816,8.0,28,a_share,False
